NameYear,Name,Pos,Age,TeamOrTot,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,Salary,ID,Team,SalClean,SalNorm
Georges_Niang_2021,Georges Niang,PF,28,PHI,76,7,22.8,3.2,7.4,.437,2.1,5.1,.403,1.2,2.3,.511,.575,0.7,0.8,.881,0.3,2.3,2.7,1.3,0.4,0.2,0.8,2.5,9.2,.687,8.7,0.7,-1.9,-1.1,11.3,1.3,.105,-0.8,1.6,1.5,10.7,0.9,9.1,6.5,.594,16.8,0.0,2.8,.077,"$3,300,000",/players/n/niangge01.html,PHI,3.3,
Daishen_Nix_2021,Daishen Nix,SG,19,HOU,24,0,10.9,1.1,2.8,.403,0.3,1.1,.269,0.8,1.7,.488,.455,0.7,1.3,.533,0.3,1.1,1.4,1.7,0.6,0.0,1.1,0.9,3.2,.388,21.5,0.0,-6.4,-1.0,11.0,0.1,.448,-5.4,2.9,-0.3,8.1,2.7,24.5,6.9,.480,17.3,-0.3,-0.2,-0.033,"$292,466",/players/n/nixda01.html,HOU,0.292466,
Zeke_Nnaji_2021,Zeke Nnaji,PF,21,DEN,41,1,17.0,2.3,4.5,.516,0.9,2.0,.463,1.4,2.6,.557,.616,1.0,1.6,.631,1.4,2.2,3.6,0.4,0.4,0.3,0.6,1.9,6.6,.430,3.4,1.7,-2.2,-1.6,14.1,0.6,.349,-0.7,9.3,1.2,13.5,1.1,9.7,11.8,.629,14.9,0.0,1.8,.123,"$2,498,760",/players/n/nnajize01.html,DEN,2.49876,
Nerlens_Noel_2021,Nerlens Noel,C,27,NYK,25,11,22.5,1.3,2.4,.533,0.0,0.1,.000,1.3,2.3,.561,.533,0.8,1.2,.700,1.9,3.7,5.6,0.9,1.2,1.2,0.8,2.7,3.4,.050,5.7,5.4,0.3,3.3,18.1,1.0,.500,-3.1,9.0,0.4,11.8,2.7,21.5,13.5,.581,7.3,0.3,1.5,.128,"$8,800,000",/players/n/noelne01.html,NYK,8.8,
Jaylen_Nowell_2021,Jaylen Nowell,SG,22,MIN,62,1,15.7,3.2,6.7,.475,1.0,2.6,.394,2.1,4.1,.526,.551,1.2,1.5,.783,0.4,1.6,2.0,2.1,0.4,0.2,0.6,1.2,8.5,.387,20.2,1.0,0.8,-0.7,11.4,0.7,.223,1.5,2.4,2.1,16.8,1.3,7.4,6.8,.581,21.0,0.7,2.8,.138,"$1,782,621",/players/n/nowelja01.html,MIN,1.782621,
Frank_Ntilikina_2021,Frank Ntilikina,PG,23,DAL,58,5,11.8,1.5,3.8,.399,0.7,1.9,.342,0.9,1.9,.455,.484,0.4,0.4,.960,0.2,1.2,1.4,1.2,0.5,0.1,0.5,1.1,4.1,.498,14.7,0.9,-2.0,0.9,10.9,0.9,.112,-2.9,1.9,0.1,10.4,2.0,11.7,6.4,.513,17.4,0.0,0.9,.065,"$1,789,256",/players/n/ntilila01.html,DAL,1.789256,
Jusuf_Nurkic_2021,Jusuf Nurkić,C,27,POR,56,56,28.2,5.7,10.7,.535,0.3,1.0,.268,5.5,9.7,.563,.548,3.3,4.8,.690,3.0,8.1,11.1,2.8,1.1,0.6,2.6,3.4,15.0,.093,16.6,2.1,0.3,0.2,32.6,1.7,.447,0.1,11.2,2.0,20.0,1.9,16.6,21.5,.586,23.6,0.9,3.6,.110,"$12,000,000",/players/n/nurkiju01.html,POR,12.0,
David_Nwaba_2021,David Nwaba,SF,29,HOU,46,4,13.2,1.8,3.8,.483,0.3,1.1,.306,1.5,2.8,.551,.526,1.0,1.5,.716,0.9,2.4,3.3,0.8,0.6,0.4,0.5,1.2,5.1,.278,8.5,2.9,-0.6,0.0,20.0,0.5,.381,-0.6,7.4,0.8,15.3,2.2,9.3,13.6,.567,15.8,0.2,1.3,.105,"$4,650,000",/players/n/nwabada01.html,HOU,4.65,
Jordan_Nwora_2021,Jordan Nwora,SF,23,MIL,62,13,19.1,3.0,7.5,.403,1.3,3.7,.348,1.7,3.8,.455,.488,0.6,0.7,.837,0.6,3.0,3.6,1.0,0.4,0.3,0.9,1.3,7.9,.491,7.0,1.4,-4.1,-1.5,16.1,1.1,.093,-2.7,3.4,-0.4,9.9,1.0,10.6,9.9,.506,19.4,-0.6,0.6,.025,"$1,517,981",/players/n/nworajo01.html,MIL,1.517981,
Royce_ONeale_2021,Royce O'Neale,SF,28,UTA,77,77,31.2,2.6,5.8,.457,1.5,4.0,.389,1.1,1.8,.609,.591,0.6,0.7,.804,0.8,3.9,4.8,2.5,1.1,0.4,1.0,2.4,7.4,.689,10.5,1.2,0.8,1.7,13.4,2.8,.126,-0.8,3.0,2.7,10.3,1.8,14.4,8.4,.608,9.9,1.7,5.5,.109,"$8,678,571",/players/o/onealro01.html,UTA,8.678571,
