,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
141,111,Zach Collins,PF,24,SAS,28,4,17.9,2.7,5.5,.490,0.5,1.5,.341,2.2,4.1,.544,.535,1.9,2.3,.800,1.6,3.8,5.5,2.2,0.5,0.8,1.6,2.4,7.8,.265,16.3,3.8,-0.2,1.0,22.5,0.7,.419,-1.2,9.5,0.6,16.4,1.2,19.7,16.0,.594,19.2,0.2,1.2,.118
142,112,Darren Collison,PG,34,LAL,3,0,12.3,0.7,2.3,.286,0.0,1.0,.000,0.7,1.3,.500,.286,0.0,0.0,,0.0,1.3,1.3,0.7,0.3,0.0,0.3,1.7,1.3,.429,6.8,0.0,-10.9,-0.9,11.6,0.0,.000,-10.0,0.0,-0.1,-0.2,1.3,12.5,5.8,.286,9.3,-0.1,-0.1,-0.070
143,113,Mike Conley,PG,34,UTA,72,72,28.6,4.8,11.0,.435,2.3,5.8,.408,2.4,5.2,.464,.542,1.8,2.3,.796,0.7,2.4,3.0,5.3,1.3,0.3,1.7,2.0,13.7,.523,27.7,0.9,3.1,0.7,8.8,2.3,.205,2.4,2.6,4.4,17.2,2.3,12.5,5.8,.572,20.9,2.7,6.7,.157
144,114,Pat Connaughton,SG,29,MIL,65,19,26.0,3.5,7.6,.458,2.2,5.7,.395,1.2,1.9,.643,.605,0.7,0.8,.833,0.7,3.5,4.2,1.3,0.9,0.2,0.5,1.3,9.9,.746,6.6,0.9,1.2,0.4,14.0,1.6,.109,0.8,2.9,2.8,13.4,1.7,6.3,8.6,.620,14.0,1.4,4.4,.125
145,115,Tyler Cook,PF,24,CHI,20,2,10.0,1.2,1.9,.605,0.0,0.0,,1.2,1.9,.605,.605,1.1,1.6,.656,0.8,1.9,2.7,0.2,0.2,0.2,0.4,1.4,3.4,.000,2.0,1.7,-4.1,-1.1,20.7,0.2,.842,-3.0,9.1,0.4,13.0,1.0,11.8,14.9,.643,13.0,-0.1,0.5,.127
146,116,Sharife Cooper,PG,20,ATL,13,0,3.0,0.2,1.1,.214,0.1,0.5,.167,0.2,0.6,.250,.250,0.0,0.0,,0.0,0.4,0.4,0.4,0.0,0.0,0.4,0.1,0.5,.429,16.3,0.0,-16.3,-5.0,14.0,0.0,.000,-11.3,0.0,-0.2,-5.4,0.0,26.3,7.0,.250,21.3,-0.1,-0.2,-0.297
147,117,Petr Cornelie,PF,26,DEN,13,0,2.9,0.4,1.2,.333,0.1,0.6,.125,0.3,0.5,.571,.367,0.2,0.3,.750,0.5,0.5,1.1,0.2,0.1,0.1,0.3,0.5,1.1,.533,10.8,2.4,-8.8,-2.7,19.9,0.0,.267,-6.1,21.3,-0.1,9.6,1.3,19.3,20.6,.418,24.0,-0.1,0.0,-0.015
148,118,DeMarcus Cousins,C,31,TOT,48,7,15.0,3.1,6.8,.460,0.8,2.5,.303,2.3,4.2,.554,.517,2.0,2.6,.760,1.5,4.1,5.6,1.5,0.7,0.4,1.8,2.9,9.0,.377,15.2,2.7,-1.6,0.2,29.1,1.3,.386,-1.8,11.7,0.3,18.2,2.4,18.3,20.6,.567,28.1,0.1,1.6,.104
149,118,DeMarcus Cousins,C,31,MIL,17,5,16.9,3.2,6.9,.466,0.8,2.8,.271,2.5,4.1,.600,.521,1.8,2.2,.816,1.4,4.4,5.8,1.1,0.9,0.5,0.9,2.7,9.1,.407,9.3,2.7,0.6,0.9,26.8,0.5,.322,-0.3,9.1,0.5,19.0,2.7,10.6,18.1,.572,22.4,0.2,1.0,.162
150,118,DeMarcus Cousins,C,31,DEN,31,2,13.9,3.0,6.6,.456,0.8,2.4,.324,2.3,4.3,.530,.515,2.1,2.8,.736,1.6,3.9,5.5,1.7,0.6,0.4,2.2,3.0,8.9,.359,19.1,2.7,-3.1,-0.2,30.6,0.8,.422,-2.8,13.4,-0.2,17.6,2.2,22.0,22.3,.565,31.9,-0.1,0.6,.065
151,119,Robert Covington,PF-SF,31,TOT,71,42,27.3,2.9,7.0,.420,1.8,4.8,.378,1.1,2.2,.509,.548,0.8,1.0,.841,0.8,4.7,5.5,1.3,1.5,1.3,1.1,2.7,8.5,.681,6.8,4.4,0.2,1.8,18.9,2.4,.139,-1.6,3.3,0.8,12.4,2.6,12.4,11.0,.572,13.5,1.1,3.2,.080
152,119,Robert Covington,PF,31,POR,48,40,29.8,2.7,7.0,.381,1.6,4.8,.343,1.0,2.2,.462,.499,0.6,0.8,.833,0.9,4.9,5.7,1.4,1.5,1.3,1.2,2.8,7.6,.685,6.7,4.3,-1.3,1.6,18.6,1.4,.107,-2.9,3.0,-0.3,10.0,2.5,14.2,10.5,.519,12.4,0.3,1.1,.037
153,119,Robert Covington,SF,31,LAC,23,2,22.1,3.5,7.0,.500,2.1,4.7,.450,1.4,2.3,.604,.651,1.2,1.4,.848,0.8,4.3,5.1,1.0,1.3,1.2,0.7,2.5,10.4,.673,7.0,4.7,4.1,2.2,20.0,1.0,.204,1.9,3.9,1.1,19.4,2.8,8.8,12.2,.677,16.7,0.8,2.1,.200
154,120,Torrey Craig,SF,31,TOT,78,16,20.5,2.6,5.7,.454,1.0,3.0,.329,1.6,2.7,.594,.541,0.5,0.7,.750,1.1,2.9,4.0,1.2,0.6,0.5,0.9,1.9,6.6,.531,7.6,2.0,-1.8,-0.1,15.4,1.4,.118,-1.7,5.9,0.9,11.0,1.4,12.6,10.7,.556,14.3,0.1,2.3,.070
155,120,Torrey Craig,SF,31,IND,51,14,20.3,2.5,5.5,.456,0.9,2.7,.333,1.6,2.8,.573,.537,0.5,0.7,.771,1.2,2.7,3.8,1.1,0.5,0.4,0.8,1.9,6.5,.491,7.7,1.6,-2.2,-0.6,14.9,0.4,.125,-1.6,6.3,0.8,10.8,1.1,11.6,10.5,.555,13.9,-0.1,1.2,.056
156,120,Torrey Craig,SF,31,PHO,27,2,20.8,2.7,5.9,.450,1.1,3.6,.323,1.5,2.4,.641,.547,0.4,0.6,.706,1.0,3.3,4.3,1.2,0.8,0.6,1.0,2.1,6.9,.600,7.5,2.7,-1.1,0.9,16.4,1.0,.106,-1.9,5.3,0.2,11.4,1.9,14.3,11.0,.558,15.0,0.1,1.1,.096
157,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
158,121,Jae Crowder,PF,31,PHO,67,67,28.1,3.2,8.1,.399,1.9,5.4,.348,1.3,2.7,.503,.516,1.1,1.3,.789,0.4,4.8,5.3,1.9,1.4,0.4,0.8,2.6,9.4,.671,8.3,1.4,1.1,2.4,18.0,3.4,.165,-1.3,1.8,0.9,11.3,2.4,8.6,10.1,.541,14.6,1.5,4.3,.110
159,122,Jarrett Culver,SG,22,MEM,37,0,9.1,1.4,3.6,.378,0.3,1.3,.255,1.1,2.4,.443,.422,0.4,0.9,.471,0.4,0.9,1.3,0.9,0.5,0.1,0.5,1.1,3.5,.348,13.0,1.3,-5.4,0.3,11.1,0.5,.252,-5.7,3.9,-0.4,8.7,2.8,11.8,7.4,.433,20.6,-0.3,0.1,.012
