,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
211,160,CJ Elleby,SF,21,POR,58,28,20.2,2.1,5.3,.393,0.6,2.2,.294,1.4,3.1,.462,.453,1.0,1.4,.714,1.1,2.8,3.9,1.5,0.6,0.3,1.0,2.0,5.8,.409,10.6,1.6,-5.3,-1.5,15.6,0.5,.273,-3.8,6.0,-0.1,9.2,1.5,14.0,10.6,.491,14.8,-1.0,0.4,.016
212,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
213,161,Wayne Ellington,SG,34,LAL,43,9,18.8,2.3,5.5,.414,1.9,4.9,.389,0.4,0.6,.615,.586,0.2,0.3,.818,0.2,1.6,1.8,0.7,0.5,0.1,0.4,1.0,6.7,.890,5.0,0.5,-1.4,-0.6,8.9,0.4,.046,-0.7,1.3,0.6,9.9,1.4,7.3,5.1,.593,13.8,0.1,1.0,.062
214,162,Joel Embiid,C,27,PHI,68,68,33.8,9.8,19.6,.499,1.4,3.7,.371,8.4,15.9,.529,.534,9.6,11.8,.814,2.1,9.6,11.7,4.2,1.1,1.5,3.1,2.7,30.6,.188,23.5,3.9,9.2,2.0,31.1,4.1,.602,7.2,7.2,7.9,31.2,1.7,11.3,19.4,.616,37.2,6.5,12.0,.252
215,163,James Ennis III,SF,31,TOT,7,0,8.0,1.6,3.4,.458,0.4,1.1,.375,1.1,2.3,.500,.521,0.6,0.7,.800,0.7,1.0,1.7,0.4,0.3,0.3,0.3,0.7,4.1,.333,7.4,3.1,-1.1,-1.0,13.1,0.1,.208,-0.1,9.9,0.1,17.7,1.7,7.1,11.6,.553,22.0,0.0,0.1,.114
216,163,James Ennis III,SF,31,BRK,2,0,7.0,1.0,3.5,.286,0.5,1.0,.500,0.5,2.5,.200,.357,0.0,0.0,,1.0,1.5,2.5,0.0,0.5,0.5,0.0,0.0,2.5,.286,0.0,6.4,-1.1,-0.6,22.7,0.0,.000,-0.5,16.0,0.0,14.7,3.5,0.0,19.4,.357,21.5,0.0,0.0,.034
217,163,James Ennis III,SF,31,LAC,2,0,14.0,3.5,5.5,.636,1.0,2.0,.500,2.5,3.5,.714,.727,2.0,2.0,1.000,1.0,1.5,2.5,0.0,0.5,0.5,0.5,2.0,10.0,.364,0.0,3.0,4.0,0.3,11.0,0.0,.364,3.7,7.8,0.1,26.3,1.7,7.3,9.5,.784,21.6,0.0,0.2,.277
218,163,James Ennis III,SF,31,DEN,3,0,4.7,0.7,2.0,.333,0.0,0.7,.000,0.7,1.3,.500,.333,0.0,0.3,.000,0.3,0.3,0.7,1.0,0.0,0.0,0.3,0.3,1.3,.333,29.8,0.0,-11.1,-4.0,7.7,0.0,.167,-7.2,8.2,0.0,3.7,0.0,13.4,8.0,.311,23.3,0.0,0.0,-0.134
219,164,Drew Eubanks,C,24,TOT,71,31,17.5,3.1,5.2,.596,0.1,0.3,.217,3.0,4.9,.621,.602,1.4,1.8,.762,1.8,3.5,5.4,1.2,0.4,0.6,1.1,1.7,7.7,.062,10.1,2.8,-1.4,-0.9,22.2,1.1,.350,-0.5,11.0,2.2,18.0,1.2,15.9,16.5,.638,17.5,0.2,3.4,.130
220,164,Drew Eubanks,C,24,SAS,49,9,12.1,1.7,3.2,.528,0.0,0.2,.125,1.7,3.1,.550,.531,1.2,1.6,.747,1.3,2.7,4.0,1.0,0.3,0.6,0.9,1.2,4.7,.050,11.1,4.2,-1.2,0.7,23.4,0.8,.497,-1.9,11.2,0.6,16.0,1.0,19.2,17.3,.588,17.0,0.1,1.4,.114
221,164,Drew Eubanks,C,24,POR,22,22,29.5,6.2,9.6,.646,0.2,0.7,.267,6.0,9.0,.675,.656,1.8,2.3,.784,3.0,5.5,8.5,1.6,0.8,0.5,1.6,2.8,14.5,.071,9.1,1.5,-1.5,-2.3,21.0,0.3,.241,0.8,10.8,1.6,19.9,1.4,13.0,15.7,.678,18.0,0.1,2.0,.144
222,165,Tacko Fall,C,26,CLE,11,1,5.4,0.5,1.1,.417,0.0,0.0,,0.5,1.1,.417,.417,0.2,0.6,.286,0.6,1.5,2.1,0.2,0.0,0.5,0.3,0.3,1.1,.000,4.6,9.1,-3.4,0.8,29.4,0.1,.583,-4.1,13.4,-0.1,11.3,0.0,16.6,21.6,.398,13.6,0.0,0.1,.043
223,166,Derrick Favors,C,30,OKC,39,18,16.7,2.4,4.7,.516,0.1,0.4,.125,2.4,4.3,.554,.522,0.4,0.6,.640,1.5,3.2,4.7,0.6,0.4,0.3,0.2,1.6,5.3,.088,5.9,1.7,-2.1,0.3,20.2,0.7,.137,-2.3,9.0,0.8,13.6,1.3,4.5,14.5,.534,13.4,0.0,1.4,.105
224,167,Bruno Fernando,C,23,TOT,30,0,5.1,1.2,1.8,.655,0.0,0.1,.500,1.2,1.8,.660,.664,0.5,0.8,.625,0.6,1.2,1.8,0.2,0.0,0.4,0.5,0.8,2.9,.036,7.5,6.5,-0.1,0.2,26.6,0.2,.436,-0.4,13.0,0.2,21.2,0.3,17.6,19.8,.671,22.4,0.1,0.4,.140
225,167,Bruno Fernando,C,23,BOS,20,0,2.9,0.4,0.7,.500,0.1,0.1,1.000,0.3,0.7,.462,.536,0.2,0.3,.800,0.4,0.4,0.8,0.2,0.0,0.2,0.3,0.3,1.0,.071,9.6,4.7,-2.8,0.4,14.6,0.1,.357,-3.2,13.4,0.0,12.6,0.0,23.6,14.0,.586,16.1,0.0,0.1,.102
226,167,Bruno Fernando,C,23,HOU,10,0,9.4,2.9,4.1,.707,0.0,0.1,.000,2.9,4.0,.725,.707,1.1,1.9,.579,1.1,2.9,4.0,0.3,0.1,0.8,0.9,1.8,6.9,.024,6.3,7.6,1.5,0.2,34.1,0.1,.463,1.3,12.8,0.2,26.5,0.5,15.4,23.4,.699,26.3,0.1,0.3,.164
227,168,Dorian Finney-Smith,PF,28,DAL,80,80,33.1,4.1,8.7,.471,2.2,5.4,.395,1.9,3.2,.599,.595,0.7,1.0,.675,1.5,3.2,4.7,1.9,1.1,0.5,1.0,2.3,11.0,.629,8.2,1.3,0.8,0.7,10.7,3.2,.120,0.1,5.1,3.4,12.5,1.7,9.9,7.9,.604,13.8,1.9,6.6,.121
228,169,Malik Fitts,PF,24,TOT,15,0,4.2,0.5,1.3,.421,0.3,0.7,.500,0.2,0.6,.333,.553,0.0,0.0,,0.1,1.0,1.1,0.3,0.0,0.0,0.1,0.3,1.4,.526,12.7,0.0,-1.1,-0.5,25.2,0.1,.000,-0.6,3.5,0.1,10.7,0.0,9.5,14.7,.553,14.6,0.0,0.1,.097
229,169,Malik Fitts,PF,24,UTA,7,0,5.0,0.3,1.3,.222,0.3,0.6,.500,0.0,0.7,.000,.333,0.0,0.0,,0.0,1.4,1.4,0.0,0.0,0.0,0.3,0.4,0.9,.444,0.0,0.0,-9.8,-1.9,30.3,0.0,.000,-7.9,0.0,-0.1,-1.6,0.0,18.2,15.6,.333,13.7,-0.1,-0.1,-0.104
230,169,Malik Fitts,PF,24,BOS,8,0,3.5,0.8,1.3,.600,0.4,0.8,.500,0.4,0.5,.750,.750,0.0,0.0,,0.3,0.6,0.9,0.6,0.0,0.0,0.0,0.1,1.9,.600,28.6,0.0,9.8,1.2,18.8,0.0,.000,8.6,7.9,0.2,26.1,0.0,0.0,13.5,.750,15.7,0.1,0.2,.348
231,170,Malachi Flynn,PG,23,TOR,44,5,12.2,1.6,4.2,.393,0.7,2.0,.333,1.0,2.1,.452,.475,0.3,0.5,.625,0.2,1.2,1.4,1.6,0.5,0.1,0.3,1.0,4.3,.492,18.5,0.7,-1.5,0.4,11.3,0.5,.131,-1.8,1.9,0.5,11.7,1.9,6.3,6.4,.488,16.5,0.1,1.0,.092
232,171,Bryn Forbes,SG,28,TOT,75,2,17.1,3.1,7.2,.429,1.6,3.9,.414,1.5,3.3,.447,.542,1.1,1.2,.908,0.1,1.1,1.2,1.0,0.3,0.1,0.7,1.3,8.8,.547,8.3,0.3,-2.9,-2.2,6.9,0.6,.161,-0.7,0.9,0.8,11.5,0.9,8.8,3.9,.574,21.2,-0.3,1.4,.054
233,171,Bryn Forbes,SG,28,SAS,40,1,16.9,3.2,7.4,.432,1.6,3.8,.417,1.6,3.6,.448,.539,1.1,1.2,.898,0.1,1.5,1.6,1.0,0.4,0.1,0.8,1.1,9.1,.510,8.6,0.4,-1.6,-1.3,9.2,0.4,.166,-0.3,0.6,0.3,12.4,1.2,9.4,4.9,.572,21.9,0.1,0.7,.053
234,171,Bryn Forbes,SG,28,DEN,35,1,17.4,2.9,6.9,.424,1.7,4.1,.410,1.3,2.8,.444,.545,1.0,1.1,.921,0.2,0.7,0.9,1.0,0.2,0.1,0.7,1.5,8.6,.593,8.0,0.3,-4.3,-3.2,4.3,0.2,.156,-1.1,1.1,0.5,10.6,0.6,8.1,2.7,.578,20.3,-0.4,0.7,.054
235,172,Aleem Ford,SF,24,ORL,5,0,14.8,1.2,4.0,.300,0.4,3.0,.133,0.8,1.0,.800,.350,0.0,0.0,,0.4,2.6,3.0,0.4,0.2,0.0,0.8,1.4,2.8,.750,3.8,0.0,-11.4,-2.2,18.6,0.1,.000,-9.1,2.8,-0.2,0.5,0.7,16.7,10.7,.350,14.0,-0.2,-0.2,-0.103
236,173,Trent Forrest,PG,23,UTA,60,6,12.8,1.3,2.6,.490,0.1,0.5,.185,1.2,2.1,.555,.506,0.6,0.8,.792,0.4,1.3,1.7,1.8,0.5,0.1,0.8,0.7,3.3,.174,18.6,0.7,-1.0,1.2,10.5,0.8,.310,-2.3,3.4,0.5,10.9,1.9,21.4,7.1,.554,12.8,0.2,1.3,.084
237,174,Evan Fournier,SG,29,NYK,80,80,29.5,5.0,12.1,.417,3.0,7.7,.389,2.0,4.3,.465,.541,1.0,1.4,.708,0.4,2.2,2.6,2.1,1.0,0.3,1.3,2.3,14.1,.641,11.9,0.8,-0.7,-0.3,8.2,2.2,.117,-0.4,1.5,1.5,12.3,1.7,9.4,4.8,.554,20.8,0.7,3.7,.075
238,175,De'Aaron Fox,PG,24,SAC,59,59,35.3,8.7,18.5,.473,1.3,4.2,.297,7.5,14.3,.524,.506,4.4,5.9,.750,0.4,3.5,3.9,5.6,1.2,0.4,2.8,2.9,23.2,.228,26.8,1.0,-0.6,-1.2,10.9,1.0,.319,0.6,1.3,1.5,17.4,1.6,11.9,6.0,.549,29.1,0.7,2.5,.058
239,176,Melvin Frazier,SG,25,OKC,3,0,40.0,4.3,16.0,.271,0.3,7.0,.048,4.0,9.0,.444,.281,1.7,2.3,.714,1.7,2.7,4.3,0.3,0.3,0.0,1.0,2.7,10.7,.438,1.2,0.0,-16.4,-6.7,7.0,0.0,.146,-9.7,4.2,-0.4,-0.4,0.4,5.5,5.6,.313,19.5,-0.4,-0.4,-0.160
240,177,Tim Frazier,PG,31,TOT,12,3,17.3,1.2,3.8,.311,0.5,1.4,.353,0.7,2.3,.286,.378,0.4,0.8,.556,0.4,1.2,1.6,2.8,0.3,0.1,1.3,2.3,3.3,.378,22.5,0.4,-8.6,-1.8,7.1,0.1,.200,-6.8,2.5,-0.3,3.3,0.7,23.5,4.8,.398,13.3,-0.3,-0.2,-0.046
241,177,Tim Frazier,PG,31,ORL,10,3,20.0,1.3,4.3,.302,0.6,1.7,.353,0.7,2.6,.269,.372,0.5,0.9,.556,0.5,1.4,1.9,3.3,0.3,0.1,1.3,2.4,3.7,.395,22.6,0.5,-8.0,-1.7,7.4,0.1,.209,-6.4,2.6,-0.2,3.8,0.7,21.7,5.0,.394,13.0,-0.3,-0.2,-0.037
242,177,Tim Frazier,PG,31,CLE,2,0,4.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.5,1.0,.000,17.9,0.0,-23.6,-5.8,0.0,0.0,.000,-17.8,0.0,-0.1,-10.3,0.0,50.0,0.0,.500,22.1,0.0,0.0,-0.283
243,178,Enes Freedom,C,29,BOS,35,1,11.7,1.5,2.8,.526,0.1,0.1,.400,1.4,2.6,.533,.536,0.7,0.8,.857,1.7,2.8,4.6,0.2,0.1,0.4,0.6,1.2,3.7,.052,2.7,3.1,-1.4,-0.2,25.4,0.7,.289,-1.2,16.5,0.6,15.0,0.6,15.5,21.0,.585,13.9,0.1,1.4,.160
244,179,Markelle Fultz,PG,23,ORL,18,3,20.0,4.6,9.7,.474,0.2,0.9,.235,4.4,8.8,.500,.486,1.4,1.7,.806,0.2,2.5,2.7,5.5,1.1,0.3,2.2,1.2,10.8,.097,48.9,1.3,0.2,0.4,13.2,0.4,.177,-0.1,1.2,0.0,17.7,2.7,17.5,7.2,.517,27.5,0.2,0.4,.053
245,180,Wenyen Gabriel,PF,24,TOT,26,5,13.8,2.1,4.2,.491,0.3,1.1,.286,1.8,3.2,.561,.527,1.0,1.6,.595,1.5,2.2,3.7,0.5,0.2,0.4,0.6,2.6,5.4,.255,5.6,2.7,-5.9,-2.1,17.2,0.3,.382,-3.7,11.8,0.4,12.5,0.7,11.1,14.5,.549,17.4,-0.4,0.7,.090
246,180,Wenyen Gabriel,PF,24,BRK,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-1.6,0.3,100.0,0.0,,-1.9,0.0,0.0,11.8,0.0,,54.5,,0.0,0.0,0.0,.167
247,180,Wenyen Gabriel,PF,24,LAC,6,0,7.7,0.8,2.2,.385,0.3,0.8,.400,0.5,1.3,.375,.462,0.3,0.7,.500,0.8,1.5,2.3,0.3,0.2,0.3,0.5,1.8,2.3,.385,6.0,3.7,-7.5,-0.9,20.1,0.1,.308,-6.6,11.9,0.0,8.3,1.1,16.9,16.1,.474,17.0,-0.1,0.0,.041
248,180,Wenyen Gabriel,PF,24,LAL,19,5,16.4,2.6,5.1,.505,0.3,1.2,.261,2.3,3.9,.581,.536,1.2,2.0,.605,1.8,2.5,4.3,0.6,0.2,0.5,0.7,3.0,6.7,.237,5.5,2.6,-5.7,-2.3,16.5,0.2,.392,-3.3,11.8,0.4,13.1,0.6,10.3,14.2,.558,17.5,-0.3,0.6,.096
249,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
250,181,Daniel Gafford,C,23,WAS,72,53,20.1,4.0,5.7,.693,0.0,0.0,.000,4.0,5.7,.695,.693,1.5,2.1,.699,2.2,3.5,5.7,0.9,0.4,1.4,0.9,2.4,9.4,.002,7.3,5.8,1.6,0.5,19.0,1.6,.372,1.1,12.1,4.4,21.8,1.0,12.0,15.6,.708,16.7,1.3,6.0,.198
251,182,Danilo Gallinari,PF,33,ATL,66,18,25.3,3.9,9.0,.434,1.7,4.5,.381,2.2,4.6,.485,.528,2.1,2.4,.904,0.5,4.1,4.7,1.5,0.4,0.2,0.6,1.4,11.7,.492,8.5,0.6,-0.2,-1.2,17.8,0.8,.261,1.0,2.3,2.8,14.3,0.8,5.4,10.1,.579,18.4,0.8,3.6,.105
252,183,Langston Galloway,SG,30,TOT,7,0,15.3,0.9,3.7,.231,0.3,2.3,.125,0.6,1.4,.400,.269,0.0,0.0,,0.4,2.1,2.6,1.7,0.1,0.0,0.9,1.0,2.0,.615,13.7,0.0,-9.8,-1.8,14.7,0.1,.000,-8.0,3.1,-0.3,0.7,0.4,18.8,9.0,.269,12.8,-0.2,-0.2,-0.100
253,183,Langston Galloway,SG,30,BRK,4,0,14.5,1.3,3.3,.385,0.5,2.0,.250,0.8,1.3,.600,.462,0.0,0.0,,0.3,1.8,2.0,1.3,0.0,0.0,1.3,1.3,3.0,.615,11.0,0.0,-10.4,-2.8,12.8,0.0,.000,-7.6,1.9,-0.1,1.8,0.0,27.8,7.5,.462,13.3,-0.1,-0.1,-0.072
254,183,Langston Galloway,SG,30,MIL,3,0,16.3,0.3,4.3,.077,0.0,2.7,.000,0.3,1.7,.200,.077,0.0,0.0,,0.7,2.7,3.3,2.3,0.3,0.0,0.3,0.7,0.7,.615,16.9,0.0,-9.1,-0.6,17.0,0.0,.000,-8.5,4.4,-0.2,-0.6,1.0,7.1,10.8,.077,12.2,-0.1,-0.1,-0.133
255,184,Darius Garland,PG,22,CLE,68,68,35.7,8.0,17.3,.462,2.6,6.7,.383,5.4,10.6,.512,.536,3.2,3.5,.892,0.6,2.7,3.3,8.6,1.3,0.1,3.6,1.7,21.7,.387,39.9,0.3,2.6,-0.8,8.2,2.5,.205,3.4,1.8,3.8,19.0,1.8,16.2,5.1,.576,27.8,2.8,6.3,.125
256,185,Marcus Garrett,SG,23,MIA,12,0,10.7,0.4,1.8,.238,0.1,0.3,.250,0.3,1.4,.235,.262,0.2,0.4,.400,0.8,1.2,1.9,0.6,0.4,0.3,0.2,1.3,1.1,.190,7.0,2.5,-5.4,1.0,12.2,0.2,.238,-6.4,8.1,-0.1,4.7,2.0,7.9,10.2,.280,8.8,-0.1,0.1,.032
257,186,Usman Garuba,PF,19,HOU,24,2,10.0,0.8,1.8,.432,0.2,0.8,.250,0.6,1.0,.583,.489,0.2,0.3,.714,0.9,2.6,3.5,0.7,0.4,0.5,0.3,1.2,2.0,.455,9.6,4.1,-0.9,0.9,28.7,0.3,.159,-1.8,9.6,0.2,12.9,2.0,11.3,19.1,.510,9.4,0.1,0.5,.105
258,187,Luka Garza,C,23,DET,32,5,12.2,2.1,4.6,.449,0.5,1.5,.327,1.6,3.1,.510,.503,1.2,1.9,.623,1.8,1.3,3.1,0.6,0.3,0.2,0.6,1.7,5.8,.333,8.3,1.4,-2.5,-2.0,12.3,0.2,.415,-0.5,15.3,0.5,15.6,1.1,9.4,13.9,.535,21.1,-0.1,0.8,.093
259,188,Rudy Gay,PF,35,UTA,55,1,18.9,2.9,6.9,.414,1.3,3.7,.345,1.6,3.2,.494,.507,1.1,1.4,.785,1.0,3.4,4.4,1.0,0.5,0.3,0.9,1.7,8.1,.536,7.8,1.6,-1.0,-0.3,19.1,1.3,.208,-0.7,6.0,0.8,13.0,1.2,10.2,12.8,.539,19.3,0.3,2.1,.097
260,189,Paul George,SF,31,LAC,31,31,34.7,8.6,20.5,.421,2.9,8.3,.354,5.7,12.2,.467,.493,4.1,4.8,.858,0.4,6.5,6.9,5.7,2.2,0.4,4.1,2.4,24.3,.404,28.1,1.0,3.6,1.9,19.2,1.9,.233,1.7,1.2,-0.6,18.6,3.0,15.2,10.5,.538,33.7,1.5,1.3,.057
261,190,Taj Gibson,C,36,NYK,52,4,18.2,1.7,3.2,.518,0.3,0.7,.395,1.4,2.5,.555,.563,0.8,1.0,.808,1.7,2.7,4.4,0.6,0.4,0.8,0.5,2.6,4.4,.229,4.9,4.2,-2.0,1.0,16.3,1.2,.313,-3.0,9.8,1.4,12.0,1.2,12.5,13.0,.606,10.0,0.0,2.7,.135
262,191,Josh Giddey,SG,19,OKC,54,54,31.5,5.2,12.4,.419,1.0,3.9,.263,4.2,8.5,.492,.461,1.0,1.5,.709,1.8,6.0,7.8,6.4,0.9,0.4,3.2,1.6,12.5,.318,32.3,1.1,-1.0,0.3,19.8,1.7,.118,-1.2,5.8,-1.3,13.3,1.5,19.5,12.7,.478,22.2,0.4,0.4,.010
263,192,Shai Gilgeous-Alexander,PG,23,OKC,56,56,34.7,8.5,18.8,.453,1.6,5.3,.300,6.9,13.5,.514,.496,5.9,7.2,.810,0.7,4.3,5.0,5.9,1.3,0.8,2.8,2.5,24.5,.282,31.1,2.2,3.4,0.5,13.0,1.8,.385,2.9,1.9,2.8,20.9,1.8,11.1,7.4,.557,30.8,2.7,4.6,.113
264,193,Anthony Gill,PF,29,WAS,44,0,10.5,1.4,2.5,.569,0.3,0.6,.538,1.1,1.9,.578,.633,1.0,1.2,.808,0.8,1.2,1.9,0.6,0.1,0.3,0.4,1.3,4.1,.239,8.3,2.0,-1.9,-1.3,12.2,0.2,.477,-0.6,8.0,1.1,14.7,0.5,12.0,10.2,.682,14.4,0.0,1.4,.140
265,194,Freddie Gillespie,PF,24,ORL,9,2,13.2,1.0,2.4,.409,0.0,0.1,.000,1.0,2.3,.429,.409,0.3,0.8,.429,1.4,2.6,4.0,0.6,0.3,1.0,0.6,2.0,2.3,.045,5.9,6.9,-4.6,1.0,20.5,0.2,.318,-5.6,11.5,-0.1,9.5,1.2,16.6,16.0,.419,10.9,-0.1,0.1,.049
266,195,Rudy Gobert,C,29,UTA,66,66,32.1,5.5,7.7,.713,0.0,0.1,.000,5.5,7.6,.718,.713,4.6,6.7,.690,3.7,11.0,14.7,1.1,0.7,2.1,1.8,2.7,15.6,.008,5.1,5.7,4.6,1.7,36.3,4.3,.864,2.9,12.9,7.3,24.7,1.0,14.5,25.0,.732,16.9,3.6,11.7,.264
267,196,Brandon Goodwin,PG,26,CLE,36,5,13.9,1.8,4.3,.416,0.5,1.5,.345,1.3,2.8,.455,.477,0.7,1.1,.632,0.4,1.5,1.9,2.5,0.7,0.0,1.0,1.1,4.8,.357,26.0,0.2,-1.6,1.1,11.4,0.7,.247,-2.6,3.1,0.1,11.8,2.5,17.4,7.4,.501,18.2,0.1,0.7,.069
268,197,Jordan Goodwin,SG,23,WAS,2,0,3.0,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,.333,0.0,0.0,-34.1,-9.4,18.2,0.0,.000,-24.7,0.0,-0.1,-20.4,0.0,0.0,9.2,.000,22.2,0.0,-0.1,-0.533
269,198,Aaron Gordon,PF,26,DEN,75,75,31.7,5.8,11.1,.520,1.2,3.5,.335,4.6,7.7,.605,.573,2.3,3.1,.743,1.7,4.2,5.9,2.5,0.6,0.6,1.8,2.0,15.0,.312,11.6,1.7,-0.6,-1.1,14.3,2.0,.276,0.5,6.1,3.2,15.3,0.9,12.5,10.3,.602,19.7,0.9,5.2,.105
270,199,Eric Gordon,SG,33,HOU,57,46,29.3,4.7,9.9,.475,2.2,5.3,.412,2.5,4.6,.548,.585,1.8,2.4,.778,0.3,1.7,2.0,2.7,0.5,0.3,1.9,1.1,13.4,.534,14.1,1.0,-2.3,-2.2,6.5,-0.1,.239,-0.1,1.0,1.5,12.1,0.8,14.6,3.7,.614,18.6,-0.1,1.4,.040
271,200,Devonte' Graham,PG,26,NOP,76,63,28.4,3.9,10.7,.363,2.5,7.4,.341,1.4,3.3,.413,.481,1.6,1.8,.843,0.5,1.8,2.3,4.2,0.9,0.2,1.4,1.3,11.9,.691,21.0,0.5,-1.0,-1.2,7.3,1.2,.172,0.2,1.9,1.6,12.1,1.6,10.7,4.5,.514,19.5,0.5,2.8,.062
272,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
273,201,Jerami Grant,PF,27,DET,47,47,31.9,6.3,14.9,.426,1.9,5.4,.358,4.4,9.5,.465,.491,4.6,5.5,.838,0.6,3.5,4.1,2.4,0.9,1.0,1.8,2.3,19.2,.363,12.5,2.9,1.2,-0.2,12.4,1.1,.371,1.4,1.9,1.2,16.1,1.4,9.5,6.9,.556,25.7,1.2,2.3,.075
274,202,Hassani Gravett,PG,25,ORL,8,3,21.4,2.3,4.8,.474,1.4,3.3,.423,0.9,1.5,.583,.618,0.4,0.5,.750,0.1,2.5,2.6,2.5,0.6,0.1,1.1,1.6,6.3,.684,17.0,0.5,-2.3,0.2,12.4,0.1,.105,-2.4,0.6,0.1,10.1,1.4,18.5,6.5,.629,12.3,0.0,0.3,.071
275,203,Danny Green,SF,34,PHI,62,28,21.8,2.0,5.2,.394,1.7,4.4,.380,0.4,0.8,.469,.555,0.2,0.2,.786,0.5,2.0,2.5,1.0,1.0,0.6,0.7,1.7,5.9,.847,6.5,2.5,-0.5,0.8,10.1,1.6,.044,-1.4,2.7,0.3,9.5,2.2,12.1,6.5,.561,12.3,0.5,1.9,.067
276,204,Draymond Green,PF,31,GSW,46,44,28.9,2.9,5.6,.525,0.3,1.2,.296,2.6,4.4,.586,.556,1.3,2.0,.659,1.0,6.3,7.3,7.0,1.3,1.1,3.0,3.0,7.5,.210,32.5,3.6,3.2,4.6,23.2,2.8,.354,-1.4,3.8,0.8,14.3,2.2,31.9,13.8,.582,14.3,1.8,3.6,.131
277,205,Jalen Green,SG,19,HOU,67,67,31.9,6.1,14.2,.426,2.3,6.8,.343,3.7,7.4,.502,.508,2.8,3.5,.797,0.5,2.9,3.4,2.6,0.7,0.3,2.0,1.5,17.3,.480,13.1,0.8,-2.9,-2.4,10.0,0.2,.247,-0.5,1.7,0.5,12.5,1.0,11.3,5.8,.547,23.7,-0.5,0.7,.015
278,206,JaMychal Green,PF,31,DEN,67,8,16.2,2.4,4.9,.486,0.5,1.9,.266,1.9,3.0,.621,.537,1.2,1.4,.871,1.2,3.0,4.2,0.9,0.6,0.4,0.9,2.4,6.4,.379,7.6,2.2,-1.8,0.1,19.9,1.4,.284,-2.0,8.6,1.2,14.1,1.9,13.4,14.5,.587,17.2,0.0,2.7,.118
279,207,Javonte Green,SF,28,CHI,65,45,23.4,2.7,5.0,.542,0.6,1.6,.356,2.2,3.4,.625,.597,1.2,1.5,.833,1.4,2.8,4.2,0.9,1.0,0.5,0.5,2.0,7.2,.311,5.3,1.8,0.1,0.7,13.6,1.5,.295,-0.6,6.8,2.9,14.0,2.2,7.6,10.2,.637,11.5,0.8,4.4,.139
280,208,Jeff Green,C,35,DEN,75,63,24.7,3.7,7.1,.524,0.7,2.2,.315,3.0,4.8,.620,.574,2.2,2.6,.833,0.5,2.5,3.1,1.3,0.4,0.4,0.9,2.0,10.3,.318,7.3,1.3,-2.5,-1.2,11.1,1.2,.374,-1.2,2.6,2.7,12.5,0.7,10.3,7.0,.627,16.3,-0.2,3.9,.101
281,209,Josh Green,SG,21,DAL,67,3,15.5,1.9,3.8,.508,0.4,1.2,.359,1.5,2.7,.573,.563,0.5,0.7,.689,0.8,1.6,2.4,1.2,0.7,0.2,0.7,1.7,4.8,.305,11.0,1.2,-1.0,1.4,11.7,1.4,.176,-2.4,5.6,1.0,11.9,2.2,13.8,8.6,.578,13.9,0.3,2.4,.111
282,210,Blake Griffin,PF,32,BRK,56,24,17.1,2.4,5.6,.425,0.7,2.6,.262,1.7,3.0,.565,.486,1.0,1.4,.724,1.1,3.0,4.1,1.9,0.5,0.3,0.6,1.7,6.4,.463,15.0,1.3,-0.6,0.1,18.6,0.9,.243,-0.6,7.0,1.2,13.7,1.4,8.2,13.0,.518,16.9,0.3,2.1,.106
