NameYear,Name,Pos,Type,OTm,PrevStats,NTm,ID,Weight,Height,Age,Tm,G,GS,MP,FG%,3P,3P%,3PA,FT,FT%,FTA,ORB,TRB,AST,STL,BLK,TOV,PTS,USG%,TS%,PER,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PrevSal,NextSal,PrevYear
Chris_Paul_2020,Chris Paul,G,UFA,PHO,"16.4 Pts, 4.5 Reb, 8.9 Ast",PHO,/players/p/paulch01.html,175,6-0,35.0,PHO,70.0,70.0,31.4,0.499,1.5,0.395,3.7,2.4,0.934,2.6,0.4,4.5,8.9,1.4,0.3,2.2,16.4,22.6,0.599,21.4,6.5,2.7,9.2,0.201,3.5,1.1,4.6,3.6,"$41,358,814",0.0,2020
Kawhi_Leonard_2020,Kawhi Leonard,F,UFA,LAC,"24.8 Pts, 6.5 Reb, 5.2 Ast",LAC,/players/l/leonaka01.html,225,6-7,29.0,LAC,52,52,34.1,.512,1.9,.398,4.9,5.0,.885,5.7,1.1,6.5,5.2,1.6,0.4,2.0,24.8,28.6,0.622,26.0,6.4,2.4,8.8,0.238,6.0,1.3,7.3,4.2,"$34,379,100",0.0,2020
Enes_Freedom_2020,Enes Freedom,C,UFA,POR,"11.2 Pts, 11.0 Reb, 1.2 Ast",BOS,/players/k/kanteen01.html,250,6-10,28.0,POR,72.0,35.0,24.4,0.604,0.0,0.25,0.1,1.8,0.774,2.3,3.9,11.0,1.2,0.5,0.7,1.1,11.2,17.4,0.636,22.4,5.7,1.7,7.5,0.204,2.1,-1.4,0.6,1.2,"$5,005,350",0.0,2020
DeMar_DeRozan_2020,DeMar DeRozan,G-F,UFA,SAS,"21.6 Pts, 4.2 Reb, 6.9 Ast",CHI,/players/d/derozde01.html,220,6-6,31.0,SAS,61.0,61.0,33.7,0.495,0.3,0.257,1.2,6.3,0.88,7.2,0.7,4.2,6.9,0.9,0.2,2.0,21.6,26.1,0.591,22.0,5.9,1.5,7.4,0.172,3.2,-0.1,3.1,2.6,"$27,739,975",0.0,2020
John_Collins_2020,John Collins,F,RFA,ATL,"17.6 Pts, 7.4 Reb, 1.2 Ast",ATL,/players/c/collijo01.html,235,6-9,23.0,ATL,63,63,29.3,0.556,1.3,0.399,3.3,2.7,0.833,3.2,1.9,7.4,1.2,0.5,1.0,1.3,17.6,22.2,0.645,20.6,4.8,1.9,6.7,0.174,2.5,-0.2,2.3,2.0,"$4,137,302",0.0,2020
Jarrett_Allen_2020,Jarrett Allen,C-F,RFA,CLE,"12.8 Pts, 10.0 Reb, 1.7 Ast",CLE,/players/a/allenja01.html,243,6-11,22.0,TOT,63.0,45.0,29.6,0.618,0.1,0.316,0.3,3.2,0.703,4.6,3.1,10.0,1.7,0.5,1.4,1.6,12.8,16.6,0.661,20.1,4.3,2.1,6.4,0.166,1.3,-0.2,1.1,1.4,"$3,909,902",0.0,2020
Mike_Conley_2020,Mike Conley,G,UFA,UTA,"16.2 Pts, 3.5 Reb, 6.0 Ast",UTA,/players/c/conlemi01.html,175,6-1,33.0,UTA,51.0,51.0,29.4,0.444,2.7,0.412,6.6,2.4,0.852,2.8,0.7,3.5,6.0,1.4,0.2,1.9,16.2,23.1,0.589,19.2,4.0,2.1,6.1,0.197,3.6,1.3,4.9,2.6,"$34,504,132",0.0,2020
Richaun_Holmes_2020,Richaun Holmes,F-C,UFA,SAC,"14.2 Pts, 8.3 Reb, 1.7 Ast",SAC,/players/h/holmeri01.html,235,6-10,27.0,SAC,61.0,61.0,29.2,0.637,0.0,0.182,0.2,2.2,0.794,2.8,2.4,8.3,1.7,0.6,1.6,1.2,14.2,17.5,0.669,20.2,4.7,1.4,6.1,0.165,0.6,0.0,0.6,1.2,"$5,005,350",0.0,2020
Nerlens_Noel_2020,Nerlens Noel,C-F,UFA,NYK,"5.1 Pts, 6.4 Reb, 0.7 Ast",NYK,/players/n/noelne01.html,220,6-11,26.0,NYK,64,41,24.2,.614,0.0,.000,0.0,0.8,.714,1.1,2.2,6.4,0.7,1.1,2.2,1.0,5.1,9.2,0.638,14.8,1.6,3.6,5.2,0.162,-2.4,3.8,1.4,1.3,"$5,000,000",0.0,2020
Kelly_Olynyk_2020,Kelly Olynyk,C-F,UFA,HOU,"13.5 Pts, 7.0 Reb, 2.9 Ast",DET,/players/o/olynyke01.html,240,6-11,29.0,TOT,70.0,62.0,28.5,0.484,1.8,0.342,5.3,2.1,0.829,2.5,1.2,7.0,2.9,1.1,0.6,1.8,13.5,19.7,0.61,16.4,2.5,2.6,5.1,0.121,0.3,0.9,1.2,1.6,"$12,819,649",0.0,2020
Nicolas_Batum_2020,Nicolas Batum,F-G,UFA,LAC,"8.1 Pts, 4.7 Reb, 2.2 Ast",LAC,/players/b/batumni01.html,230,6-8,32.0,LAC,67.0,38.0,27.4,0.464,1.6,0.404,4.1,0.7,0.828,0.9,0.7,4.7,2.2,1.0,0.6,0.8,8.1,11.8,0.617,12.9,2.7,2.3,5.0,0.132,0.6,1.5,2.1,1.9,"$9,043,478$2,564,753",0.0,2020
TJ_McConnell_2020,T.J. McConnell,G,UFA,IND,"8.6 Pts, 3.7 Reb, 6.6 Ast",IND,/players/m/mccontj01.html,190,6-1,28.0,IND,69.0,3.0,26.0,0.559,0.2,0.313,0.7,0.5,0.688,0.7,0.8,3.7,6.6,1.9,0.3,2.0,8.6,15.3,0.583,16.9,2.6,2.2,4.8,0.128,-0.2,1.7,1.4,1.5,"$3,500,000",0.0,2020
Bobby_Portis_2020,Bobby Portis,F,UFA,MIL,"11.4 Pts, 7.1 Reb, 1.1 Ast",MIL,/players/p/portibo01.html,250,6-10,25.0,MIL,66.0,7.0,20.8,0.523,1.1,0.471,2.4,0.8,0.74,1.1,1.9,7.1,1.1,0.8,0.4,0.8,11.4,20.9,0.598,19.9,2.8,2.0,4.8,0.167,1.8,-0.4,1.5,1.2,"$3,623,000",0.0,2020
Norman_Powell_2020,Norman Powell,G,UFA,POR,"18.6 Pts, 3.1 Reb, 1.9 Ast",POR,/players/p/powelno01.html,215,6-3,27.0,TOT,69.0,58.0,32.0,0.477,2.5,0.411,6.0,3.4,0.871,3.9,0.6,3.1,1.9,1.2,0.3,1.7,18.6,22.6,0.618,16.2,3.4,1.3,4.7,0.103,1.1,-0.7,0.4,1.3,"$10,865,952",0.0,2020
