,Name,CurrentSalary,CurrentTeam
6,Matisse Thybulle,"$2,840,160",PHI
7,Paul Millsap,"$2,641,691",PHI
8,Tyrese Maxey,"$2,602,920",PHI
9,Jaden Springer,"$2,023,800",PHI
10,Shake Milton,"$1,846,738",PHI
11,Isaiah Joe,"$1,517,981",PHI
12,Paul Reed,"$1,517,981",PHI
13,Charles Bassey,"$925,258",PHI
14,DeAndre Jordan,"$592,103",PHI
0,Dejounte Murray,"$15,428,571",SAS
1,Doug McDermott,"$13,750,000",SAS
2,Josh Richardson,"$11,615,328",SAS
3,Jakob Poeltl,"$8,750,000",SAS
4,Zach Collins,"$6,984,127",SAS
5,Lonnie Walker IV,"$4,447,896",SAS
6,Devin Vassell,"$4,235,160",SAS
7,Joshua Primo,"$3,946,800",SAS
8,Romeo Langford,"$3,804,360",SAS
9,Keldon Johnson,"$2,145,720",SAS
10,Keita Bates-Diop,"$1,729,217",SAS
11,Tre Jones,"$1,517,981",SAS
12,Jock Landale,"$925,258",SAS
13,Devontae Cacok,"$364,533",SAS
14,Joe Wieskamp,"$202,068",SAS
20,DeMarre Carroll,"$1,252,127",SAS
0,Paul George,"$39,344,970",LAC
1,Kawhi Leonard,"$39,344,900",LAC
2,Marcus Morris,"$15,627,907",LAC
3,Norman Powell,"$15,517,242",LAC
4,Robert Covington,"$12,975,471",LAC
5,Luke Kennard,"$12,727,273",LAC
6,Reggie Jackson,"$10,384,500",LAC
7,Ivica Zubac,"$7,518,518",LAC
8,Nicolas Batum,"$3,170,029",LAC
9,Rodney Hood,"$2,239,544",LAC
10,Terance Mann,"$1,782,621",LAC
11,Isaiah Hartenstein,"$1,729,217",LAC
12,Jason Preston,"$1,062,303",LAC
13,Brandon Boston Jr.,"$925,258",LAC
14,Amir Coffey,"$153,488",LAC
18,Semi Ojeleye,"$1,789,256",LAC
0,Derrick Favors,"$9,720,900",OKC
1,Josh Giddey,"$5,988,000",OKC
2,Shai Gilgeous-Alexander,"$5,495,532",OKC
3,Mike Muscala,"$3,500,000",OKC
4,Aleksej Pokusevski,"$3,113,160",OKC
5,Tre Mann,"$2,901,240",OKC
6,Darius Bazley,"$2,513,040",OKC
7,Ty Jerome,"$2,412,840",OKC
8,Kenrich Williams,"$2,000,000",OKC
9,Jeremiah Robinson-Earl,"$2,000,000",OKC
10,Théo Maledon,"$2,000,000",OKC
11,Luguentz Dort,"$1,782,621",OKC
12,Isaiah Roby,"$1,782,621",OKC
13,Gabriel Deck,"$1,690,507",OKC
14,Aaron Wiggins,"$1,000,000",OKC
15,Vit Krejci,"$925,258",OKC
19,KZ Okpala,"$1,782,621",OKC
20,Kyle Singler,"$999,200",OKC
21,Miye Oni,"$850,331",OKC
0,Karl-Anthony Towns,"$31,610,000",MIN
1,D'Angelo Russell,"$30,013,500",MIN
2,Taurean Prince,"$15,057,692",MIN
3,Malik Beasley,"$14,391,964",MIN
4,Patrick Beverley,"$14,320,988",MIN
5,Anthony Edwards,"$10,245,480",MIN
6,Jarred Vanderbilt,"$4,259,259",MIN
7,Josh Okogie,"$4,087,904",MIN
8,Jake Layman,"$3,940,184",MIN
9,Leandro Bolmaro,"$2,353,320",MIN
10,Jaden McDaniels,"$2,063,280",MIN
11,Jaylen Nowell,"$1,782,621",MIN
12,Naz Reid,"$1,782,621",MIN
13,Jordan McLaughlin,"$1,669,178",MIN
14,Greg Monroe,"$55,208",MIN
0,Jerami Grant,"$20,000,000",DET
1,Kelly Olynyk,"$12,195,122",DET
2,Marvin Bagley III,"$11,312,114",DET
3,Cade Cunningham,"$10,050,120",DET
4,Killian Hayes,"$5,572,680",DET
5,Hamidou Diallo,"$5,200,000",DET
6,Cory Joseph,"$4,910,000",DET
7,Isaiah Stewart,"$3,277,080",DET
8,Frank Jackson,"$3,000,000",DET
9,Saddiq Bey,"$2,824,320",DET
10,Rodney McGruder,"$1,939,350",DET
11,Saben Lee,"$1,489,065",DET
12,Isaiah Livers,"$1,057,260",DET
13,Luka Garza,"$925,258",DET
14,Carsen Edwards,"$76,744",DET
0,Buddy Hield,"$22,477,273",IND
1,Malcolm Brogdon,"$21,700,000",IND
2,Myles Turner,"$18,000,000",IND
3,Ricky Rubio,"$17,809,524",IND
4,T.J. Warren,"$12,690,000",IND
5,T.J. McConnell,"$7,500,000",IND
6,Jalen Smith,"$4,458,000",IND
7,Tyrese Haliburton,"$4,023,600",IND
8,Chris Duarte,"$3,749,520",IND
9,Goga Bitadze,"$3,098,400",IND
10,Isaiah Jackson,"$2,451,120",IND
11,Oshae Brissett,"$1,701,593",IND
12,Lance Stephenson,"$924,730",IND
13,Terry Taylor,"$21,270",IND
14,Duane Washington Jr.,"$21,270",IND
19,Monta Ellis,"$2,245,400",IND
20,Brad Wanamaker,"$705,598",IND
21,Keifer Sykes,"$558,345",IND
0,Stephen Curry,"$45,780,966",GSW
1,Klay Thompson,"$37,980,720",GSW
2,Andrew Wiggins,"$31,579,390",GSW
3,Draymond Green,"$24,026,712",GSW
4,James Wiseman,"$9,166,800",GSW
5,Jonathan Kuminga,"$5,466,360",GSW
6,Kevon Looney,"$5,178,572",GSW
7,Moses Moody,"$3,562,080",GSW
8,Andre Iguodala,"$2,641,691",GSW
9,Otto Porter Jr.,"$2,389,641",GSW
10,Jordan Poole,"$2,161,440",GSW
11,Nemanja Bjelica,"$2,089,448",GSW
12,Gary Payton II,"$1,939,350",GSW
13,Damion Lee,"$1,910,860",GSW
14,Juan Toscano-Anderson,"$1,701,593",GSW
18,Shaun Livingston,"$666,666",GSW
0,Damian Lillard,"$39,344,900",POR
1,Eric Bledsoe,"$18,125,000",POR
2,Joe Ingles,"$14,000,000",POR
3,Josh Hart,"$12,000,000",POR
4,Jusuf Nurkić,"$12,000,000",POR
5,Anfernee Simons,"$3,938,818",POR
6,Justise Winslow,"$3,902,439",POR
7,Keon Johnson,"$2,553,120",POR
8,Ben McLemore,"$2,389,641",POR
9,Nassir Little,"$2,316,240",POR
10,Didi Louzada,"$1,786,878",POR
11,CJ Elleby,"$1,517,981",POR
12,Elijah Hughes,"$1,517,981",POR
13,Greg Brown III,"$925,258",POR
14,Trendon Watford,"$260,561",POR
18,Andrew Nicholson,"$2,844,429",POR
19,Cody Zeller,"$2,389,641",POR
20,Dennis Smith Jr.,"$1,789,256",POR
0,John Collins,"$23,000,000",ATL
1,Danilo Gallinari,"$20,475,000",ATL
2,Bogdan Bogdanović,"$18,000,000",ATL
3,Clint Capela,"$17,103,448",ATL
4,Delon Wright,"$8,526,316",ATL
5,Trae Young,"$8,326,471",ATL
6,De'Andre Hunter,"$7,775,400",ATL
7,Onyeka Okongwu,"$6,104,280",ATL
8,Kevin Knox,"$5,845,978",ATL
9,Lou Williams,"$5,000,000",ATL
10,Kevin Huerter,"$4,253,357",ATL
11,Gorgui Dieng,"$4,000,000",ATL
12,Jalen Johnson,"$2,659,560",ATL
13,Timothé Luwawu-Cabarrot,"$1,939,350",ATL
14,Skylar Mays,"$34,231",ATL
0,Jayson Tatum,"$28,103,550",BOS
1,Al Horford,"$27,000,000",BOS
2,Jaylen Brown,"$24,830,357",BOS
3,Derrick White,"$15,178,571",BOS
4,Marcus Smart,"$14,339,285",BOS
5,Daniel Theis,"$8,372,093",BOS
6,Robert Williams,"$3,661,976",BOS
7,Aaron Nesmith,"$3,631,200",BOS
8,Grant Williams,"$2,617,800",BOS
9,Payton Pritchard,"$2,137,440",BOS
10,Luke Kornet,"$606,702",BOS
11,Sam Hauser,"$313,737",BOS
12,Malik Fitts,"$231,062",BOS
13,Juwan Morgan,"$19,186",BOS
18,Jabari Parker,"$1,068,288",BOS
19,Guerschon Yabusele,"$1,039,080",BOS
20,Demetrius Jackson,"$92,857",BOS
0,Tim Hardaway Jr.,"$21,306,816",DAL
1,Spencer Dinwiddie,"$17,142,857",DAL
2,Dāvis Bertāns,"$16,000,000",DAL
3,Dwight Powell,"$11,000,000",DAL
4,Luka Dončić,"$10,174,391",DAL
5,Reggie Bullock,"$9,536,000",DAL
6,Maxi Kleber,"$8,750,000",DAL
7,Dorian Finney-Smith,"$4,000,000",DAL
8,Boban Marjanović,"$3,500,000",DAL
9,Trey Burke,"$3,333,333",DAL
10,Sterling Brown,"$3,000,000",DAL
11,Josh Green,"$2,957,520",DAL
12,Jalen Brunson,"$1,802,057",DAL
13,Frank Ntilikina,"$1,789,256",DAL
14,Marquese Chriss,"$958,529",DAL
19,Tyrell Terry,"$1,517,981",DAL
