,Name,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,ID,Team,SalClean,FG%_,FT%_,TS%_,3P%_,G_pct,GS_pct,GS/G,Sal_class,Sal_class_predict,Sal_class_predict_proba,Height,Weight,Surplus_value,SalFinal,Max_proba
60,Chris Boucher,PF,29,80,9,21.1,3.4,7.2,0.464,0.9,2.9,0.297,2.5,4.4,0.575,0.523,1.9,2.4,0.777,2.2,3.9,6.2,0.3,0.6,0.9,0.5,2.2,9.4,0.397,2.2,4.3,0.0,-0.4,21.3,2.4,0.334,0.5,10.9,3.5,17.9,1.4,6.0,15.8,0.57,17.8,0.9,6.0,0.169,/players/b/bouchch01.html,TOR,7.02,0.437,0.875,0.529,0.378,0.975609756097561,0.1097560975609756,0.1125,5,5,"[0.22254092644587858, 0.27199676818676477, 0.21109553291353308, 0.17514409125297975, 0.08112255891123625, 0.02924251576313817, 0.008857606526468819]",6-9,200,0.0,7.02,0.27199676818676477
61,James Bouknight,SG,21,31,0,9.8,1.6,4.5,0.348,0.5,1.6,0.347,1.0,3.0,0.348,0.408,0.9,1.0,0.871,0.7,1.0,1.7,0.8,0.2,0.0,0.5,0.9,4.6,0.348,11.9,0.3,-7.1,-3.7,10.6,0.1,0.22,-3.4,7.6,-0.1,10.1,1.1,8.8,9.1,0.459,23.7,-0.4,0.0,0.001,/players/b/bouknja01.html,CHO,4.1544,0.51,0.752,0.56,0.5,0.3780487804878049,0.0,0.0,0,0,"[0.5087350484628108, 0.2554762630783426, 0.11790004149570808, 0.07640071929387417, 0.03459353132023393, 0.004410087245432664, 0.002484309103597058]",6-5,190,0.0,4.1544,0.5087350484628108
62,Avery Bradley,SG,31,62,45,22.7,2.4,5.6,0.423,1.3,3.4,0.39,1.1,2.3,0.471,0.54,0.3,0.3,0.889,0.5,1.7,2.2,0.8,0.9,0.1,0.6,1.9,6.4,0.6,4.5,0.6,-3.6,-0.1,8.0,0.9,0.051,-3.5,2.4,0.3,7.8,1.8,9.6,5.2,0.55,12.1,-0.6,1.2,0.04,/players/b/bradlav01.html,LAL,2.641691,0.438,0.826,0.541,0.363,0.7560975609756098,0.5487804878048781,0.7258064516129032,0,0,"[0.3517431278612994, 0.26111743205973315, 0.17758776909108598, 0.12723590148674532, 0.061341263031425806, 0.01535808351412731, 0.005616422955581891]",6-3,180,0.0,2.641691,0.3517431278612994
63,Tony Bradley,C,24,55,7,10.0,1.3,2.2,0.585,0.0,0.0,,1.3,2.2,0.585,0.585,0.3,0.5,0.655,1.2,2.2,3.4,0.5,0.2,0.6,0.6,1.1,3.0,0.0,6.7,5.2,-1.8,0.2,24.3,0.7,0.236,-2.0,13.8,0.6,14.9,0.9,20.0,19.1,0.6,13.6,0.0,1.3,0.112,/players/b/bradlto01.html,CHI,1.789256,0.487,0.759,0.575,0.374,0.6707317073170732,0.0853658536585365,0.1272727272727272,0,0,"[0.4998281830673357, 0.2736353328249624, 0.12003562426007153, 0.07429015547549404, 0.028570725724273632, 0.002257243392311457, 0.0013827352555504863]",6-10,248,0.0,1.789256,0.4998281830673357
64,Ignas Brazdeikis,SF,23,42,1,12.8,1.9,4.5,0.431,0.6,2.1,0.31,1.3,2.4,0.535,0.503,0.5,0.8,0.656,0.5,1.2,1.7,0.9,0.2,0.1,0.4,1.1,5.0,0.463,10.7,0.5,-4.3,-1.6,9.7,0.3,0.17,-2.7,4.5,0.2,10.2,0.9,7.8,7.1,0.52,17.7,-0.3,0.5,0.041,/players/b/brazdig01.html,ORL,0.0,0.408,0.6,0.461,0.376,0.5121951219512195,0.0121951219512195,0.0238095238095238,0,0,"[0.5206301525103247, 0.2664660318477443, 0.11408307795509474, 0.06935635187559411, 0.02638781811252306, 0.0018570289806933993, 0.001219538718024423]",6-6,221,0.0,0.0,0.5206301525103247
65,Mikal Bridges,SF,25,82,82,34.8,5.6,10.5,0.534,1.4,3.8,0.369,4.2,6.7,0.628,0.601,1.6,1.9,0.834,0.9,3.3,4.2,2.3,1.2,0.4,0.8,1.8,14.2,0.364,8.7,1.1,1.6,1.1,10.0,3.7,0.183,0.5,2.9,5.2,14.4,1.6,6.8,6.5,0.627,15.0,2.6,8.9,0.15,/players/b/bridgmi01.html,PHO,5.557725,0.442,0.744,0.595,0.391,1.0,1.0,1.0,5,30,"[0.020938166725907693, 0.05058960041207528, 0.11018934279745754, 0.12873933651801917, 0.19976679687658455, 0.21080619398751288, 0.2789705626824447]",6-6,209,24.442275000000002,5.557725,0.2789705626824447
66,Miles Bridges,PF,23,80,80,35.5,7.5,15.2,0.491,1.9,5.8,0.331,5.5,9.4,0.59,0.554,3.3,4.2,0.802,1.1,5.9,7.0,3.8,0.9,0.8,1.9,2.4,20.2,0.383,15.7,2.2,1.5,-0.3,17.8,2.3,0.274,1.8,3.3,5.0,17.9,1.3,9.9,10.4,0.593,22.6,2.5,7.2,0.123,/players/b/bridgmi02.html,CHO,5.421493,0.459,0.75,0.55,0.306,0.975609756097561,0.975609756097561,1.0,5,30,"[0.011353985852495056, 0.03577623279527723, 0.07703476629689948, 0.09228102578542001, 0.17718115665177292, 0.21608381023290046, 0.3902890223852349]",6-6,225,24.578507000000002,5.421493,0.3902890223852349
67,Oshae Brissett,SF,23,67,25,23.3,3.1,7.6,0.411,1.2,3.5,0.35,1.9,4.0,0.465,0.493,1.7,2.4,0.695,1.6,3.7,5.3,1.1,0.7,0.4,0.8,1.7,9.1,0.468,6.4,1.6,-2.2,-1.7,18.1,0.9,0.324,-0.5,7.6,1.4,12.9,1.4,8.5,12.8,0.53,17.3,-0.1,2.2,0.069,/players/b/brissos01.html,IND,1.701593,0.432,0.828,0.6,0.427,0.8170731707317073,0.3048780487804878,0.373134328358209,0,5,"[0.25131150800571445, 0.2594888788751629, 0.2046833219057058, 0.1639376273606078, 0.08851146117496415, 0.023607740131199956, 0.008459462546643658]",6-7,210,3.0,1.701593,0.2594888788751629
68,Malcolm Brogdon,PG,29,36,36,33.5,6.8,15.1,0.448,1.6,5.2,0.312,5.1,9.9,0.518,0.501,4.0,4.6,0.856,0.9,4.2,5.1,5.9,0.8,0.4,2.1,2.0,19.1,0.343,26.9,1.0,2.3,-0.5,14.3,0.4,0.308,2.8,3.0,2.2,18.0,1.2,11.1,8.6,0.557,24.6,1.3,2.7,0.106,/players/b/brogdma01.html,IND,21.7,0.517,0.625,0.547,0.0,0.4390243902439024,0.4390243902439024,1.0,20,20,"[0.04990551381419781, 0.08986280459568594, 0.12893609064462885, 0.1397305085970412, 0.21578275021346022, 0.18497517674979289, 0.19080715538519344]",6-5,229,0.0,21.7,0.21578275021346022
69,Armoni Brooks,SG,23,54,11,15.6,1.8,5.4,0.339,1.4,4.6,0.297,0.4,0.7,0.6,0.467,0.3,0.4,0.857,0.4,1.5,1.9,1.1,0.5,0.2,0.5,1.4,5.3,0.862,10.4,1.2,-3.9,-1.3,10.9,0.4,0.073,-2.6,2.5,-0.1,8.4,1.6,8.3,6.7,0.483,16.4,-0.4,0.2,0.014,/players/b/brookar01.html,TOR,1.910221,0.391,0.787,0.514,0.331,0.6585365853658537,0.1341463414634146,0.2037037037037037,0,0,"[0.5125214432098606, 0.2684945957062223, 0.11773186394374786, 0.07057718743116533, 0.02746307759813442, 0.0019511560009014405, 0.001260676109967085]",6-3,195,0.0,1.910221,0.5125214432098606
