,Name,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,ID,Team,SalClean,FG%_,FT%_,TS%_,3P%_,G_pct,GS_pct,GS/G,Sal_class,Sal_class_predict,Sal_class_predict_proba,Height,Weight,Surplus_value,SalFinal,Max_proba
163,Drew Eubanks,C,24,71,31,17.5,3.1,5.2,0.596,0.1,0.3,0.217,3.0,4.9,0.621,0.602,1.4,1.8,0.762,1.8,3.5,5.4,1.2,0.4,0.6,1.1,1.7,7.7,0.062,10.1,2.8,-1.4,-0.9,22.2,1.1,0.35,-0.5,11.0,2.2,18.0,1.2,15.9,16.5,0.638,17.5,0.2,3.4,0.13,/players/e/eubandr01.html,TOR,2.23982,0.468,0.543,0.522,0.333,0.8658536585365854,0.3780487804878049,0.4366197183098591,0,0,"[0.33038789828110626, 0.2880369672336381, 0.1706015378667201, 0.13283301555574192, 0.05730588848717288, 0.015259991733361723, 0.005574700842258892]",6-9,245,0.0,2.23982,0.33038789828110626
164,Tacko Fall,C,26,11,1,5.4,0.5,1.1,0.417,0.0,0.0,,0.5,1.1,0.417,0.417,0.2,0.6,0.286,0.6,1.5,2.1,0.2,0.0,0.5,0.3,0.3,1.1,0.0,4.6,9.1,-3.4,0.8,29.4,0.1,0.583,-4.1,13.4,-0.1,11.3,0.0,16.6,21.6,0.398,13.6,0.0,0.1,0.043,/players/f/fallta01.html,CLE,0.0,0.466,0.807,0.586,0.414,0.1341463414634146,0.0121951219512195,0.0909090909090909,0,0,"[0.520311892144924, 0.2655868019255324, 0.1145875922989961, 0.06966486360939285, 0.02673060519197097, 0.0018927540385173388, 0.0012254907906653247]",7-6,311,0.0,0.0,0.520311892144924
165,Derrick Favors,C,30,39,18,16.7,2.4,4.7,0.516,0.1,0.4,0.125,2.4,4.3,0.554,0.522,0.4,0.6,0.64,1.5,3.2,4.7,0.6,0.4,0.3,0.2,1.6,5.3,0.088,5.9,1.7,-2.1,0.3,20.2,0.7,0.137,-2.3,9.0,0.8,13.6,1.3,4.5,14.5,0.534,13.4,0.0,1.4,0.105,/players/f/favorde01.html,OKC,9.7209,0.565,0.739,0.598,0.342,0.4756097560975609,0.2195121951219512,0.4615384615384615,5,0,"[0.4886935364953794, 0.27793068181233094, 0.12343773315070604, 0.07667641400429152, 0.02933721385967659, 0.002438624294773895, 0.0014857963828405888]",6-9,265,-4.7209,9.7209,0.4886935364953794
166,Bruno Fernando,C,23,30,0,5.1,1.2,1.8,0.655,0.0,0.1,0.5,1.2,1.8,0.66,0.664,0.5,0.8,0.625,0.6,1.2,1.8,0.2,0.0,0.4,0.5,0.8,2.9,0.036,7.5,6.5,-0.1,0.2,26.6,0.2,0.436,-0.4,13.0,0.2,21.2,0.3,17.6,19.8,0.671,22.4,0.1,0.4,0.14,/players/f/fernabr01.html,HOU,1.782621,0.564,0.806,0.612,0.0,0.3658536585365853,0.0,0.0,0,0,"[0.4567385246419564, 0.2558855541503606, 0.12836921011715738, 0.09691225830895235, 0.04899951238061368, 0.00898324071774652, 0.004111699683211792]",6-9,240,0.0,1.782621,0.4567385246419564
167,Dorian Finney-Smith,PF,28,80,80,33.1,4.1,8.7,0.471,2.2,5.4,0.395,1.9,3.2,0.599,0.595,0.7,1.0,0.675,1.5,3.2,4.7,1.9,1.1,0.5,1.0,2.3,11.0,0.629,8.2,1.3,0.8,0.7,10.7,3.2,0.12,0.1,5.1,3.4,12.5,1.7,9.9,7.9,0.604,13.8,1.9,6.6,0.121,/players/f/finnedo01.html,DAL,4.0,0.42,0.841,0.544,0.376,0.975609756097561,0.975609756097561,1.0,0,20,"[0.05699405667240255, 0.10935858712510953, 0.16837661609724638, 0.1637900674133564, 0.23177083878153232, 0.18825429691773507, 0.0814555369926176]",6-7,220,16.0,4.0,0.23177083878153232
168,Malik Fitts,PF,24,15,0,4.2,0.5,1.3,0.421,0.3,0.7,0.5,0.2,0.6,0.333,0.553,0.0,0.0,,0.1,1.0,1.1,0.3,0.0,0.0,0.1,0.3,1.4,0.526,12.7,0.0,-1.1,-0.5,25.2,0.1,0.0,-0.6,3.5,0.1,10.7,0.0,9.5,14.7,0.553,14.6,0.0,0.1,0.097,/players/f/fittsma01.html,BOS,0.402218,0.44,0.816,0.588,0.373,0.1829268292682926,0.0,0.0,0,0,"[0.46779352636257976, 0.2649343878608029, 0.125114274688716, 0.09004780251728181, 0.042011648162829575, 0.006977741500824097, 0.0031206189069642185]",6-8,230,0.0,0.402218,0.46779352636257976
169,Malachi Flynn,PG,23,44,5,12.2,1.6,4.2,0.393,0.7,2.0,0.333,1.0,2.1,0.452,0.475,0.3,0.5,0.625,0.2,1.2,1.4,1.6,0.5,0.1,0.3,1.0,4.3,0.492,18.5,0.7,-1.5,0.4,11.3,0.5,0.131,-1.8,1.9,0.5,11.7,1.9,6.3,6.4,0.488,16.5,0.1,1.0,0.092,/players/f/flynnma01.html,TOR,2.04804,0.474,0.836,0.588,0.333,0.5365853658536586,0.0609756097560975,0.1136363636363636,0,0,"[0.5150866085092769, 0.26736244384568664, 0.1167473171948142, 0.07039655598994343, 0.0272047656229498, 0.0019509861691659265, 0.0012513226681622894]",6-1,175,0.0,2.04804,0.5150866085092769
170,Bryn Forbes,SG,28,75,2,17.1,3.1,7.2,0.429,1.6,3.9,0.414,1.5,3.3,0.447,0.542,1.1,1.2,0.908,0.1,1.1,1.2,1.0,0.3,0.1,0.7,1.3,8.8,0.547,8.3,0.3,-2.9,-2.2,6.9,0.6,0.161,-0.7,0.9,0.8,11.5,0.9,8.8,3.9,0.574,21.2,-0.3,1.4,0.054,/players/f/forbebr01.html,DEN,4.5,0.471,0.772,0.545,0.314,0.9146341463414634,0.024390243902439,0.0266666666666666,0,0,"[0.38900611360005266, 0.279087302080404, 0.15015930169464145, 0.1116405432644734, 0.05574352907556444, 0.009911716091419026, 0.004451494193445344]",6-2,205,0.0,4.5,0.38900611360005266
171,Aleem Ford,SF,24,5,0,14.8,1.2,4.0,0.3,0.4,3.0,0.133,0.8,1.0,0.8,0.35,0.0,0.0,,0.4,2.6,3.0,0.4,0.2,0.0,0.8,1.4,2.8,0.75,3.8,0.0,-11.4,-2.2,18.6,0.1,0.0,-9.1,2.8,-0.2,0.5,0.7,16.7,10.7,0.35,14.0,-0.2,-0.2,-0.103,/players/f/fordal03.html,ORL,0.053176,0.471,0.756,0.502,0.143,0.0609756097560975,0.0,0.0,0,0,"[0.5215575108970477, 0.2655981330122907, 0.11392170347885032, 0.06944954711607414, 0.02640145577599964, 0.0018521110017116912, 0.001219538718024423]",6-8,220,0.0,0.053176,0.5215575108970477
172,Trent Forrest,PG,23,60,6,12.8,1.3,2.6,0.49,0.1,0.5,0.185,1.2,2.1,0.555,0.506,0.6,0.8,0.792,0.4,1.3,1.7,1.8,0.5,0.1,0.8,0.7,3.3,0.174,18.6,0.7,-1.0,1.2,10.5,0.8,0.31,-2.3,3.4,0.5,10.9,1.9,21.4,7.1,0.554,12.8,0.2,1.3,0.084,/players/f/forretr01.html,UTA,0.008558,0.426,0.796,0.54,0.373,0.7317073170731707,0.073170731707317,0.1,0,0,"[0.4923422406451231, 0.2747945350659623, 0.12246263071645204, 0.07637632064451833, 0.029902966501650547, 0.002735624584523248, 0.0013856818417693519]",6-4,210,0.0,0.008558,0.4923422406451231
173,Evan Fournier,SG,29,80,80,29.5,5.0,12.1,0.417,3.0,7.7,0.389,2.0,4.3,0.465,0.541,1.0,1.4,0.708,0.4,2.2,2.6,2.1,1.0,0.3,1.3,2.3,14.1,0.641,11.9,0.8,-0.7,-0.3,8.2,2.2,0.117,-0.4,1.5,1.5,12.3,1.7,9.4,4.8,0.554,20.8,0.7,3.7,0.075,/players/f/fournev01.html,NYK,17.142857,0.434,0.698,0.53,0.336,0.975609756097561,0.975609756097561,1.0,15,20,"[0.04606101859145436, 0.09630869386191274, 0.1740528439728363, 0.1912826178487333, 0.25241797761028406, 0.17739763376991505, 0.06247921434486361]",6-7,205,2.8571430000000007,17.142857,0.25241797761028406
174,De'Aaron Fox,PG,24,59,59,35.3,8.7,18.5,0.473,1.3,4.2,0.297,7.5,14.3,0.524,0.506,4.4,5.9,0.75,0.4,3.5,3.9,5.6,1.2,0.4,2.8,2.9,23.2,0.228,26.8,1.0,-0.6,-1.2,10.9,1.0,0.319,0.6,1.3,1.5,17.4,1.6,11.9,6.0,0.549,29.1,0.7,2.5,0.058,/players/f/foxde01.html,SAC,28.1035,0.461,0.8,0.581,0.415,0.7195121951219512,0.7195121951219512,1.0,25,30,"[0.03360618784486563, 0.06107964282981765, 0.10016030397740415, 0.10220635053009378, 0.19310425673209022, 0.15233030017907298, 0.35751295790665577]",6-3,185,1.8964999999999996,28.1035,0.35751295790665577
175,Melvin Frazier,SG,25,3,0,40.0,4.3,16.0,0.271,0.3,7.0,0.048,4.0,9.0,0.444,0.281,1.7,2.3,0.714,1.7,2.7,4.3,0.3,0.3,0.0,1.0,2.7,10.7,0.438,1.2,0.0,-16.4,-6.7,7.0,0.0,0.146,-9.7,4.2,-0.4,-0.4,0.4,5.5,5.6,0.313,19.5,-0.4,-0.4,-0.16,/players/f/frazime01.html,OKC,0.0,0.58,0.545,0.588,0.2,0.0365853658536585,0.0,0.0,0,0,"[0.25402173334995964, 0.1924559546537118, 0.17047625772601008, 0.12974660025360607, 0.11505026537361457, 0.050929454352180784, 0.08731973429091644]",6-5,215,0.0,0.0,0.25402173334995964
176,Tim Frazier,PG,31,12,3,17.3,1.2,3.8,0.311,0.5,1.4,0.353,0.7,2.3,0.286,0.378,0.4,0.8,0.556,0.4,1.2,1.6,2.8,0.3,0.1,1.3,2.3,3.3,0.378,22.5,0.4,-8.6,-1.8,7.1,0.1,0.2,-6.8,2.5,-0.3,3.3,0.7,23.5,4.8,0.398,13.3,-0.3,-0.2,-0.046,/players/f/fraziti01.html,CLE,0.386127,0.481,0.684,0.595,0.364,0.1463414634146341,0.0365853658536585,0.25,0,0,"[0.4998679416532952, 0.2739401544453011, 0.12215231476086297, 0.07235887622472338, 0.028356252698047608, 0.002035210074950134, 0.0012892501428194223]",6-0,170,0.0,0.386127,0.4998679416532952
177,Enes Freedom,C,29,35,1,11.7,1.5,2.8,0.526,0.1,0.1,0.4,1.4,2.6,0.533,0.536,0.7,0.8,0.857,1.7,2.8,4.6,0.2,0.1,0.4,0.6,1.2,3.7,0.052,2.7,3.1,-1.4,-0.2,25.4,0.7,0.289,-1.2,16.5,0.6,15.0,0.6,15.5,21.0,0.585,13.9,0.1,1.4,0.16,/players/k/kanteen01.html,HOU,2.641691,0.493,0.649,0.538,0.326,0.4268292682926829,0.0121951219512195,0.0285714285714285,0,0,"[0.5000939768296212, 0.2736685545393579, 0.11889634217161328, 0.07514037394807117, 0.028411420026733268, 0.002356352791940252, 0.001432979692661896]",6-10,250,0.0,2.641691,0.5000939768296212
178,Markelle Fultz,PG,23,18,3,20.0,4.6,9.7,0.474,0.2,0.9,0.235,4.4,8.8,0.5,0.486,1.4,1.7,0.806,0.2,2.5,2.7,5.5,1.1,0.3,2.2,1.2,10.8,0.097,48.9,1.3,0.2,0.4,13.2,0.4,0.177,-0.1,1.2,0.0,17.7,2.7,17.5,7.2,0.517,27.5,0.2,0.4,0.053,/players/f/fultzma01.html,ORL,16.5,0.429,0.86,0.546,0.381,0.2195121951219512,0.0365853658536585,0.1666666666666666,15,0,"[0.33185815312794453, 0.2545389514443983, 0.17489320733280095, 0.1368502358455688, 0.07593316381132506, 0.018454338933883985, 0.007471949504077106]",6-3,209,-11.5,16.5,0.33185815312794453
179,Wenyen Gabriel,PF,24,26,5,13.8,2.1,4.2,0.491,0.3,1.1,0.286,1.8,3.2,0.561,0.527,1.0,1.6,0.595,1.5,2.2,3.7,0.5,0.2,0.4,0.6,2.6,5.4,0.255,5.6,2.7,-5.9,-2.1,17.2,0.3,0.382,-3.7,11.8,0.4,12.5,0.7,11.1,14.5,0.549,17.4,-0.4,0.7,0.09,/players/g/gabriwe01.html,LAL,0.427334,0.621,0.731,0.641,0.0,0.3170731707317073,0.0609756097560975,0.1923076923076923,0,0,"[0.5123154632141312, 0.2689105333668502, 0.1174024475431509, 0.07079054397181749, 0.027363392950702035, 0.001961687420595982, 0.0012559315327515426]",6-9,205,0.0,0.427334,0.5123154632141312
180,Daniel Gafford,C,23,72,53,20.1,4.0,5.7,0.693,0.0,0.0,0.0,4.0,5.7,0.695,0.693,1.5,2.1,0.699,2.2,3.5,5.7,0.9,0.4,1.4,0.9,2.4,9.4,0.002,7.3,5.8,1.6,0.5,19.0,1.6,0.372,1.1,12.1,4.4,21.8,1.0,12.0,15.6,0.708,16.7,1.3,6.0,0.198,/players/g/gaffoda01.html,WAS,1.782621,0.642,0.576,0.644,0.0,0.8780487804878049,0.6463414634146342,0.7361111111111112,0,5,"[0.22094633983684273, 0.2637719066059167, 0.20250339185743413, 0.1787531949301991, 0.08440125740652661, 0.03925871702530646, 0.010365192337774356]",6-10,234,3.0,1.782621,0.2637719066059167
181,Danilo Gallinari,PF,33,66,18,25.3,3.9,9.0,0.434,1.7,4.5,0.381,2.2,4.6,0.485,0.528,2.1,2.4,0.904,0.5,4.1,4.7,1.5,0.4,0.2,0.6,1.4,11.7,0.492,8.5,0.6,-0.2,-1.2,17.8,0.8,0.261,1.0,2.3,2.8,14.3,0.8,5.4,10.1,0.579,18.4,0.8,3.6,0.105,/players/g/gallida01.html,ATL,20.475,0.423,0.841,0.539,0.352,0.8048780487804879,0.2195121951219512,0.2727272727272727,20,5,"[0.14385959750974736, 0.22913028221568724, 0.2290240810555985, 0.22038195581618428, 0.1166097144361911, 0.04679094710516425, 0.014203421861426686]",6-10,233,-10.475000000000001,20.475,0.22913028221568724
182,Langston Galloway,SG,30,7,0,15.3,0.9,3.7,0.231,0.3,2.3,0.125,0.6,1.4,0.4,0.269,0.0,0.0,,0.4,2.1,2.6,1.7,0.1,0.0,0.9,1.0,2.0,0.615,13.7,0.0,-9.8,-1.8,14.7,0.1,0.0,-8.0,3.1,-0.3,0.7,0.4,18.8,9.0,0.269,12.8,-0.2,-0.2,-0.1,/players/g/gallola01.html,MIL,0.386127,0.412,0.835,0.563,0.348,0.0853658536585365,0.0,0.0,0,0,"[0.5216162749141336, 0.26555275077602875, 0.11390832169802638, 0.06944954711607414, 0.02640145577599964, 0.0018521110017116912, 0.001219538718024423]",6-1,200,0.0,0.386127,0.5216162749141336
183,Darius Garland,PG,22,68,68,35.7,8.0,17.3,0.462,2.6,6.7,0.383,5.4,10.6,0.512,0.536,3.2,3.5,0.892,0.6,2.7,3.3,8.6,1.3,0.1,3.6,1.7,21.7,0.387,39.9,0.3,2.6,-0.8,8.2,2.5,0.205,3.4,1.8,3.8,19.0,1.8,16.2,5.1,0.576,27.8,2.8,6.3,0.125,/players/g/garlada01.html,CLE,7.04088,0.527,0.658,0.599,0.405,0.8292682926829268,0.8292682926829268,1.0,5,30,"[0.010438505695119268, 0.03471287368869132, 0.06821208980446568, 0.07669230068475177, 0.15786728969520783, 0.2091990455815858, 0.4428778948501769]",6-1,192,22.95912,7.04088,0.4428778948501769
184,Marcus Garrett,SG,23,12,0,10.7,0.4,1.8,0.238,0.1,0.3,0.25,0.3,1.4,0.235,0.262,0.2,0.4,0.4,0.8,1.2,1.9,0.6,0.4,0.3,0.2,1.3,1.1,0.19,7.0,2.5,-5.4,1.0,12.2,0.2,0.238,-6.4,8.1,-0.1,4.7,2.0,7.9,10.2,0.28,8.8,-0.1,0.1,0.032,/players/g/garrema01.html,MIA,0.0,0.507,0.78,0.556,0.395,0.1463414634146341,0.0,0.0,0,0,"[0.5216634146652585, 0.2651980028130602, 0.11389157475917529, 0.06977910210204574, 0.026396255940722677, 0.0018521110017116912, 0.001219538718024423]",6-5,205,0.0,0.0,0.5216634146652585
185,Usman Garuba,PF,19,24,2,10.0,0.8,1.8,0.432,0.2,0.8,0.25,0.6,1.0,0.583,0.489,0.2,0.3,0.714,0.9,2.6,3.5,0.7,0.4,0.5,0.3,1.2,2.0,0.455,9.6,4.1,-0.9,0.9,28.7,0.3,0.159,-1.8,9.6,0.2,12.9,2.0,11.3,19.1,0.51,9.4,0.1,0.5,0.105,/players/g/garubus01.html,HOU,2.35332,0.451,0.596,0.539,0.345,0.2926829268292683,0.024390243902439,0.0833333333333333,0,0,"[0.5184878031442688, 0.26621231936163714, 0.11523958879636582, 0.07012638308184506, 0.026810363050434882, 0.0018980517747820558, 0.0012254907906653247]",6-8,220,0.0,2.35332,0.5184878031442688
186,Luka Garza,C,23,32,5,12.2,2.1,4.6,0.449,0.5,1.5,0.327,1.6,3.1,0.51,0.503,1.2,1.9,0.623,1.8,1.3,3.1,0.6,0.3,0.2,0.6,1.7,5.8,0.333,8.3,1.4,-2.5,-2.0,12.3,0.2,0.415,-0.5,15.3,0.5,15.6,1.1,9.4,13.9,0.535,21.1,-0.1,0.8,0.093,/players/g/garzalu01.html,DET,0.925258,0.478,0.655,0.542,0.346,0.3902439024390244,0.0609756097560975,0.15625,0,0,"[0.4506429162178655, 0.26204328935267535, 0.12972685153036842, 0.09570749433715599, 0.04917336982551551, 0.008689315037075214, 0.004016763699343028]",6-11,235,0.0,0.925258,0.4506429162178655
187,Rudy Gay,PF,35,55,1,18.9,2.9,6.9,0.414,1.3,3.7,0.345,1.6,3.2,0.494,0.507,1.1,1.4,0.785,1.0,3.4,4.4,1.0,0.5,0.3,0.9,1.7,8.1,0.536,7.8,1.6,-1.0,-0.3,19.1,1.3,0.208,-0.7,6.0,0.8,13.0,1.2,10.2,12.8,0.539,19.3,0.3,2.1,0.097,/players/g/gayru01.html,UTA,5.89,0.449,0.722,0.534,0.282,0.6707317073170732,0.0121951219512195,0.0181818181818181,5,0,"[0.3737661244442669, 0.2888301712139302, 0.15489407483805775, 0.11429440553857159, 0.054210427896333034, 0.009910234869915205, 0.004094561198926043]",6-8,250,-0.8899999999999997,5.89,0.3737661244442669
188,Paul George,SF,31,31,31,34.7,8.6,20.5,0.421,2.9,8.3,0.354,5.7,12.2,0.467,0.493,4.1,4.8,0.858,0.4,6.5,6.9,5.7,2.2,0.4,4.1,2.4,24.3,0.404,28.1,1.0,3.6,1.9,19.2,1.9,0.233,1.7,1.2,-0.6,18.6,3.0,15.2,10.5,0.538,33.7,1.5,1.3,0.057,/players/g/georgpa01.html,LAC,39.34497,0.442,0.819,0.544,0.337,0.3780487804878049,0.3780487804878049,1.0,30,30,"[0.04614134088834937, 0.08172842776250146, 0.11291556428788083, 0.11852122936378595, 0.18034305930308955, 0.13997715258874763, 0.3203732258056455]",6-8,220,0.0,39.34497,0.3203732258056455
189,Taj Gibson,C,36,52,4,18.2,1.7,3.2,0.518,0.3,0.7,0.395,1.4,2.5,0.555,0.563,0.8,1.0,0.808,1.7,2.7,4.4,0.6,0.4,0.8,0.5,2.6,4.4,0.229,4.9,4.2,-2.0,1.0,16.3,1.2,0.313,-3.0,9.8,1.4,12.0,1.2,12.5,13.0,0.606,10.0,0.0,2.7,0.135,/players/g/gibsota01.html,NYK,4.91,0.467,0.79,0.579,0.426,0.6341463414634146,0.048780487804878,0.0769230769230769,0,0,"[0.47285816283269383, 0.28565969761727006, 0.12798333166902717, 0.07993677143755952, 0.0293455557475686, 0.0027121509114883167, 0.0015043297843927198]",6-9,232,0.0,4.91,0.47285816283269383
190,Josh Giddey,SG,19,54,54,31.5,5.2,12.4,0.419,1.0,3.9,0.263,4.2,8.5,0.492,0.461,1.0,1.5,0.709,1.8,6.0,7.8,6.4,0.9,0.4,3.2,1.6,12.5,0.318,32.3,1.1,-1.0,0.3,19.8,1.7,0.118,-1.2,5.8,-1.3,13.3,1.5,19.5,12.7,0.478,22.2,0.4,0.4,0.01,/players/g/giddejo01.html,OKC,5.988,0.541,0.379,0.531,0.342,0.6585365853658537,0.6585365853658537,1.0,5,20,"[0.13241583492095388, 0.12352221797975443, 0.16906001503751272, 0.1611367331970047, 0.2254188026083834, 0.13354355925741382, 0.054902836998977536]",6-8,210,14.012,5.988,0.2254188026083834
191,Shai Gilgeous-Alexander,PG,23,56,56,34.7,8.5,18.8,0.453,1.6,5.3,0.3,6.9,13.5,0.514,0.496,5.9,7.2,0.81,0.7,4.3,5.0,5.9,1.3,0.8,2.8,2.5,24.5,0.282,31.1,2.2,3.4,0.5,13.0,1.8,0.385,2.9,1.9,2.8,20.9,1.8,11.1,7.4,0.557,30.8,2.7,4.6,0.113,/players/g/gilgesh01.html,OKC,5.495532,0.58,0.725,0.632,0.455,0.6829268292682927,0.6829268292682927,1.0,5,30,"[0.022042441863513194, 0.06342805072382815, 0.09628305229238558, 0.10433672716696508, 0.16402232790775612, 0.17284865815578082, 0.37703874188977043]",6-6,180,24.504468,5.495532,0.37703874188977043
192,Anthony Gill,PF,29,44,0,10.5,1.4,2.5,0.569,0.3,0.6,0.538,1.1,1.9,0.578,0.633,1.0,1.2,0.808,0.8,1.2,1.9,0.6,0.1,0.3,0.4,1.3,4.1,0.239,8.3,2.0,-1.9,-1.3,12.2,0.2,0.477,-0.6,8.0,1.1,14.7,0.5,12.0,10.2,0.682,14.4,0.0,1.4,0.14,/players/g/gillan01.html,WAS,1.517981,0.406,0.818,0.494,0.352,0.5365853658536586,0.0,0.0,0,0,"[0.4514342746003042, 0.2720474590978142, 0.12840719626148006, 0.0943386466625428, 0.04321336518656016, 0.0072959104857705445, 0.0032631477055264616]",6-7,230,0.0,1.517981,0.4514342746003042
193,Freddie Gillespie,PF,24,9,2,13.2,1.0,2.4,0.409,0.0,0.1,0.0,1.0,2.3,0.429,0.409,0.3,0.8,0.429,1.4,2.6,4.0,0.6,0.3,1.0,0.6,2.0,2.3,0.045,5.9,6.9,-4.6,1.0,20.5,0.2,0.318,-5.6,11.5,-0.1,9.5,1.2,16.6,16.0,0.419,10.9,-0.1,0.1,0.049,/players/g/gillefr01.html,ORL,0.171156,0.421,0.667,0.525,0.39,0.1097560975609756,0.024390243902439,0.2222222222222222,0,0,"[0.5184849302342958, 0.26589120846138997, 0.11517333191587162, 0.07033993581320666, 0.026964181925830145, 0.0019028017735540493, 0.0012436098758508037]",6-9,245,0.0,0.171156,0.5184849302342958
194,Rudy Gobert,C,29,66,66,32.1,5.5,7.7,0.713,0.0,0.1,0.0,5.5,7.6,0.718,0.713,4.6,6.7,0.69,3.7,11.0,14.7,1.1,0.7,2.1,1.8,2.7,15.6,0.008,5.1,5.7,4.6,1.7,36.3,4.3,0.864,2.9,12.9,7.3,24.7,1.0,14.5,25.0,0.732,16.9,3.6,11.7,0.264,/players/g/goberru01.html,UTA,35.344828,0.407,0.85,0.566,0.369,0.8048780487804879,0.8048780487804879,1.0,30,25,"[0.013676174550288992, 0.033808536308779384, 0.08192144205939197, 0.10362870234198392, 0.17613190176739177, 0.3215629534793616, 0.2692702894928012]",7-1,258,-5.344828,35.344828,0.3215629534793616
195,Brandon Goodwin,PG,26,36,5,13.9,1.8,4.3,0.416,0.5,1.5,0.345,1.3,2.8,0.455,0.477,0.7,1.1,0.632,0.4,1.5,1.9,2.5,0.7,0.0,1.0,1.1,4.8,0.357,26.0,0.2,-1.6,1.1,11.4,0.7,0.247,-2.6,3.1,0.1,11.8,2.5,17.4,7.4,0.501,18.2,0.1,0.7,0.069,/players/g/goodwbr01.html,CLE,0.09938,0.43,0.711,0.518,0.345,0.4390243902439024,0.0609756097560975,0.1388888888888889,0,0,"[0.514755735042888, 0.26685311591920274, 0.11645683606140557, 0.07096708272358591, 0.027648357026937388, 0.0020231840900595374, 0.001295689135919937]",6-0,180,0.0,0.09938,0.514755735042888
196,Jordan Goodwin,SG,23,2,0,3.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.333,0.0,0.0,-34.1,-9.4,18.2,0.0,0.0,-24.7,0.0,-0.1,-20.4,0.0,0.0,9.2,0.0,22.2,0.0,-0.1,-0.533,/players/g/goodwjo01.html,WAS,0.053176,0.367,0.729,0.479,0.301,0.024390243902439,0.0,0.0,0,0,"[0.511081513318194, 0.25658593024466747, 0.11687122432321126, 0.0760930401180186, 0.033424322093472465, 0.003785032668765542, 0.0021589372336697043]",6-3,200,0.0,0.053176,0.511081513318194
197,Aaron Gordon,PF,26,75,75,31.7,5.8,11.1,0.52,1.2,3.5,0.335,4.6,7.7,0.605,0.573,2.3,3.1,0.743,1.7,4.2,5.9,2.5,0.6,0.6,1.8,2.0,15.0,0.312,11.6,1.7,-0.6,-1.1,14.3,2.0,0.276,0.5,6.1,3.2,15.3,0.9,12.5,10.3,0.602,19.7,0.9,5.2,0.105,/players/g/gordoaa01.html,DEN,16.409091,0.503,0.8,0.643,0.464,0.9146341463414634,0.9146341463414634,1.0,15,20,"[0.03597723009676055, 0.07779851415359156, 0.15602392485880182, 0.17331147388662396, 0.2761199164441434, 0.20214955064374693, 0.07861938991633222]",6-8,235,3.590909,16.409091,0.2761199164441434
198,Eric Gordon,SG,33,57,46,29.3,4.7,9.9,0.475,2.2,5.3,0.412,2.5,4.6,0.548,0.585,1.8,2.4,0.778,0.3,1.7,2.0,2.7,0.5,0.3,1.9,1.1,13.4,0.534,14.1,1.0,-2.3,-2.2,6.5,-0.1,0.239,-0.1,1.0,1.5,12.1,0.8,14.6,3.7,0.614,18.6,-0.1,1.4,0.04,/players/g/gordoer01.html,HOU,18.218818,0.434,0.695,0.553,0.412,0.6951219512195121,0.5609756097560976,0.8070175438596491,15,15,"[0.16377346601264028, 0.18128766731809487, 0.20218879285002228, 0.2053533568280698, 0.15201756428799149, 0.07243706862777219, 0.02294208407540924]",6-3,215,0.0,18.218818,0.2053533568280698
199,Devonte' Graham,PG,26,76,63,28.4,3.9,10.7,0.363,2.5,7.4,0.341,1.4,3.3,0.413,0.481,1.6,1.8,0.843,0.5,1.8,2.3,4.2,0.9,0.2,1.4,1.3,11.9,0.691,21.0,0.5,-1.0,-1.2,7.3,1.2,0.172,0.2,1.9,1.6,12.1,1.6,10.7,4.5,0.514,19.5,0.5,2.8,0.062,/players/g/grahade01.html,NOP,11.0,0.427,0.661,0.495,0.289,0.926829268292683,0.7682926829268293,0.8289473684210527,10,10,"[0.14148752929012864, 0.17748992435768854, 0.2035003560338861, 0.1982287128307687, 0.15500350851049377, 0.09454922202065756, 0.02974074695637694]",6-1,195,0.0,11.0,0.2035003560338861
200,Jerami Grant,PF,27,47,47,31.9,6.3,14.9,0.426,1.9,5.4,0.358,4.4,9.5,0.465,0.491,4.6,5.5,0.838,0.6,3.5,4.1,2.4,0.9,1.0,1.8,2.3,19.2,0.363,12.5,2.9,1.2,-0.2,12.4,1.1,0.371,1.4,1.9,1.2,16.1,1.4,9.5,6.9,0.556,25.7,1.2,2.3,0.075,/players/g/grantje01.html,DET,20.0025,0.412,0.862,0.562,0.377,0.573170731707317,0.573170731707317,1.0,20,20,"[0.05377980309527977, 0.09561320897650655, 0.1382224822441337, 0.14991090127496884, 0.21977278072194947, 0.17129260756086911, 0.17140821612629262]",6-8,210,0.0,20.0025,0.21977278072194947
